age;gender;humanmade;concern;efficacy;income;edu3;openanswer;
5;1;1;0,75;0,3333333;500000;3;Våtere og villere;Wetter and wilder
5;2;1;0,75;0,3333333;3200000;2;Våtere og varmere;Wetter and warmer
2;1;1;1;0,3333333;800000;3;Våre barnebarn komme til å fordømme vår generasjon for at vi ikke gjorde det som var nødvendig;Our grandchildren come to condemn our generation that we did not do what was necessary
6;1;0;0,25;0,3333333;450000;3;Vår tids religion der helvete er erstattet med klimakatastrofe;Our time religion where hell is replaced by climate disaster
1;1;1;1;0,3333333;340731;2;Växthuseffekten;greenhouse effect
2;1;1;1;0,3333333;400000;1;Værskifte;Værskifte
2;1;1;0,75;0,3333333;510000;3;Værproblematikk: høyere temperatur større svingninger issmelting/høyere vannstand vind og nedbør;Værproblematikk: higher temperature greater fluctuations ice melting / higher water level wind and rainfall
4;2;1;0,75;0,3333333;400000;3;Værkatastrofer;Værkatastrofer
4;2;1;1;0,3333333;462000;3;Værkatastrofer;Værkatastrofer
5;2;1;0,5;0,3333333;370000;2;Værforholdene;weather conditions
2;2;0;0,5;0,6666667;270000;2;værforholdene;weather conditions
3;2;0;0,25;0,3333333;425000;2;Værforhold;weather conditions
6;2;0;0,25;0;180000;2;Værforhold;weather conditions
5;1;1;0,75;0,6666667;570000;2;Værforandringer og hyppigere ekstremforhold;Weather changes and more frequent extreme conditions
4;2;1;0,5;0,6666667;400000;3;Værforandringer mye nedbør og vind;Weather changes much rain and wind
5;2;1;1;0,3333333;548000;1;Værforandringer Mer ekstremvær;Weather changes More extreme
4;1;1;0,75;0,3333333;520000;3;Værforandringer Matkriser Vannkrise Ozonlaget;Weather changes food crisis Water Crisis ozone layer
2;2;1;0,75;0,3333333;120000;2;Værforandringer forrurenssing;Weather changes forrurenssing
3;2;0;0,5;0,6666667;430000;3;værforandringer;weather changes
4;2;1;0,25;0,3333333;350000;2;værforandringer;weather changes
5;1;1;0,5;0;240000;2;værforandringer;weather changes
4;2;1;0,5;0,3333333;410000;3;værforandringer;weather changes
5;2;1;0,75;0,6666667;420000;3;værforandringer;weather changes
3;1;0;0,25;0;650000;2;Værforandringer;Weather changes
4;2;1;0,5;0,3333333;460;2;Værforandringer;Weather changes
5;2;1;0,25;0;400;2;Værforandringer;Weather changes
3;1;0;0,75;0,6666667;0;0;Været og når det vil snø;Weather and when it will snow
2;1;1;0,75;0,3333333;324000;1;Været har forendret seg;The weather has changed into
2;2;1;0,75;0,3333333;308000;2;været forandrer seg;weather changes
6;2;1;0,75;0;271047;2;Været er forandret Snøen er så møkkete Regnet er møkkete;The weather is changing snow is so muddy rain is dirty
5;1;0;0,5;0,6666667;260000;3;været;been
4;2;1;0,5;0,3333333;280000;1;været;been
3;2;0;0,5;0,3333333;500000;2;Været;been
3;2;0;0,5;0;351000;1;Været;been
5;2;1;0,5;0,6666667;350000;2;Været;been
3;2;1;0,5;0,3333333;100000;3;været;been
3;2;1;0,5;0,6666667;250000;2;været;been
1;1;1;0,25;0,6666667;40000;2;Været;been
4;2;1;0,75;0,3333333;452000;0;Været;been
1;2;0;0,25;0,3333333;100000;2;Værendringer;be changes
1;2;1;0,75;0,3333333;0;3;Værendring;be Dring
2;1;1;0,75;0,3333333;490000;2;Vær utslipp miljø;Please emissions environment
3;1;1;0,75;0,3333333;490000;3;Vær skifte;Weather change
3;2;1;0,75;0,3333333;650000;3;vær regn co2;weather rain co2
4;1;1;0,75;0,3333333;350000;2;Vær- og tempraturforandringer;Weather and change in temperature
6;1;1;1;0,6666667;450000;3;Vær og temperaturendriger;Be and temperaturendriger
3;2;1;0,75;0,3333333;0;3;vær og issmelting;weather and melting ice
2;2;1;0,75;0,3333333;60000;3;vær forandrnger global oppvarming ozon laget forurensning av lufta;weather forandrnger global warming ozone pollution of the air
3;2;1;1;0,6666667;430000;3;Vær flom snøsmelting temperatur;Be flooding snowmelt temperature
3;2;1;1;0,3333333;740000;3;Vær (storm ekstra kaldt ekstra varmt polsmelting) og ozonlag;Weather (storm extra cold extra hot pole melting) and the Ozone Layer
4;1;0;0,5;0,6666667;500000;1;Vær;Weather
5;2;1;0,75;0,3333333;570000;3;vær;weather
3;2;1;0,75;0,3333333;470000;3;Vær;Weather
5;1;1;0,75;0,6666667;370000;2;Vær;Weather
5;1;1;0,75;0,3333333;540000;3;vær;weather
4;1;1;0,5;0,3333333;500000;3;Vær;Weather
3;2;0;0,25;0,3333333;530000;3;vær;weather
4;1;0;0;0;530000;2;vulkanutbrudd;volcanic eruptions
7;1;1;0,75;0;400000;3;Voldsommere vær havet stiger;More violent weather rising seas
4;2;1;0,5;0,6666667;550000;3;Voldsomme uvær issmelting havnivået stiger fortvilte mennesker ødeleggelser økende forskjeller;Violent storms ice melting sea level rise despairing people destructions increasing differences
5;2;1;0,5;0,6666667;290000;3;vintrene blir mildere og våtere Mer ekstremvær;winters are milder and wetter More extreme
3;2;1;0,75;0,6666667;748000;3;Vinterstormer;winter storms
6;1;0;0,25;0,3333333;300000;1;vinteren er like kald;winter is as cold
2;2;1;0,75;0,6666667;390000;3;Vinteren blir varm og snø og kulde forsvinner= negativt;The winter will be warm and the snow and cold disappears = negative
6;1;1;1;0,6666667;40000;1;Vindstyrke;Wind force
1;2;0;0,5;0,3333333;0;2;vindmøller vær bil buss skole plan;wind turbines be car buss school level
6;1;1;0,75;0,6666667;800000;3;vind vann luft;air water air
6;1;1;0,75;0,6666667;350000;1;vind regn katastrofer;wind rain disaster
5;2;1;0,75;0,6666667;700000;3;Vind og regn Negativt skremmende;Wind and rain Negative scary
3;1;0;0,5;0,3333333;630000;3;Vind og nedbør;Wind and rain
3;2;1;0,25;0,6666667;150000;1;vind og flom;wind and flood
5;1;1;0,5;0,3333333;190000;1;vind nedbør;wind precipitation
4;1;1;0,5;0,6666667;0;2;Vind;Find
4;2;0;0,5;0,3333333;477000;3;vilt vått;wild wet
4;2;1;0,75;0,6666667;150000;3;Villere våtere og varmere!;Wilder wetter and warmer!
6;2;0;0,75;0,3333333;350000;3;villere varmere våtere;wilder warmer wetter
2;2;1;1;0,3333333;450000;1;villare våtare vær tap av diverse dyrearter td isbjørner menneskeskapt og det må gjørest noke FØR det er forseint vi har ikkje god tid der kan du sei;Villas våtare weather the loss of various animal species td bears manmade and it must gjørest noke BEFORE it is forseint we have not time where you can sei
6;2;1;0,5;0,3333333;162000;1;vil det medføre et bedre vær - eller et verre vær?;it will result in a better weather - or a worse weather?
1;2;0;0,5;0,3333333;100000;1;Viktig å ta vare på klimaet;Important to care for the climate
1;1;0;0,5;0,3333333;100000;2;Viktig tema som bør tas på alvor;Important topics that should be taken seriously
1;2;1;1;0,6666667;120000;3;"Viktig (første ord jeg tenkte på) (Deretter: ) De fleste enes idag om at klimaendringene er menneskeskapte men de færreste tenker at ens egne handlinger eller mer generelt ens egen livstil påvirker klimaet ""Ja en burde nok sikkert det "" er standardssvar jeg selv opplever å få når jeg prøver å påvirke mine nærmeste til å ta klimavennlige valg men jeg opplever skjeldent at noe gjøres ";"Important (first words I thought of) (Then:) Most the day that climate change is man-made but very few think that one's own actions or, more generally, one's own lifestyle affects the climate ""yes one should probably certainly there"" is the standard answer I even experience getting when I try to influence my closest to bring climate-friendly choices but I experience rarely that something be done"
5;1;1;0,75;0,6666667;900000;2;Viktig;Important
5;2;0;0,5;0,6666667;245000;1;Vi ødelegger vår klode - ozonlaget - søppel;We are destroying our planet - ozone layer - garbage
4;1;1;0,5;0,6666667;430000;2;Vi vil jobb for klima men lever og reiser som før Pengene styrer;We will work for the climate but live and travel as before Money controls
6;1;1;0,75;0,3333333;230000;2;Vi ser resultatet av klimaendringer daglig nå Mer naturkatastrofer;We see the result of climate changes daily now more natural disasters
7;1;1;0,75;0,6666667;500000;2;Vi må være flinkere til å spare alt: lys bilkjjøring matvaner spise mere nærprodusert mat kutte ut mye import spise norske poteter og epler osv vi har en utrolig frotsing i matveien Se de fulle hadlekurvene folk propper med usund (ofte) mat Dra til fjells istedenfor syden!;We must be better at saving everything: light bilkjjøring eating habits eat more selling locally-produced food cut out much import eat Norwegian potatoes and apples, etc. we have an incredible frotsing eater See the full hadlekurvene people clots with unhealthy (often) food Head to the mountains instead syden !
2;1;1;0,75;0,6666667;420000;3;Vi må tilpasse oss endringer som skjer på jorda Vi vet at disse endringene skjer og vi bør jobbe med løsninger ikke diskutere hvorvidt disse er menneskeskapte eller ikke Bruk av fossile brensler er en begrenset ressurs og vi bør jobbe for å gjøre oss mye mindre avhengig av dette på sikt Bærekraftig ressursbruk deriblant i energiproduksjon er en av de viktigste løsningene vi bør jobbe med Teknologi og utvikling samt en endring bort fra det materialistiske livssynet på verden er veien å gå;We must adapt to changes taking place on Earth, we know that these changes are happening and we should work on solutions not discuss whether these are man-made or not use of fossil fuels are a finite resource and we should work to make us much less dependent on this in the long term sustainable use of resources including energy production is one of the main solutions we should work on technology and development, and a change away from the materialistic worldview of the world are the way to go
2;1;1;0,5;0,3333333;14000;2;Vi må tenke av det men vi må ikke gjøre noe avgifter for dette fordi det er kneyttet med hele verden Det gjøre ingenting mot klimaendringer hvis bare norge engasjert seg;We need to think of it but we must not do any fees for this because it is kneyttet with worldwide It do nothing against climate change if only Norway engaged
2;1;1;1;0,6666667;13500;2;Vi må stå sammen til å sikre neste generasjon når det gjelder om klima;We must join together to ensure the next generation in terms of climate
5;2;1;0,75;0,6666667;350000;2;Vi må redusere utslipp og fornye bilpark til mer miljøvennlig;We must reduce emissions and renew vehicle fleet to more environmentally friendly
7;2;1;1;0,3333333;200000;3;Vi må gjøre noe med det! En vet at en må begynne med seg selv Hver enkelt av oss må begynne å leve mer miljøvennlig en føler at en har en lang vei å gå!;We must do something about it! One knows that one must begin with oneself Each of us must begin to live a more environmentally friendly one feel that one has a long way to go!
5;1;1;1;0,6666667;400000;3;Vi må gjøre noe for å få ned utslippene;We must do something to bring down emissions
1;2;1;0,75;0,3333333;20000;1;Vi må gjøre noe;We must do something
6;1;1;1;0,6666667;310000;2;Vi må gjøre mere på områder som handler om fornybar energi samt stoppe nedhugging og utnyttelse av regnskogene De som bedriver miljø-kriminalitet må straffes mye hardere;We must do more in areas such as renewable energy and stop the cutting down and exploitation of rainforests Those who commit environmental crime must be punished much harder
3;2;1;0,75;0,6666667;300000;2;Vi må gjøre mer for å redde jorda!;We must do more to save the earth!
2;1;1;0,75;0,3333333;560000;2;vi må få ut fingern;we have to get out Fingern
3;1;1;0,5;0,6666667;320000;3;"Vi må få alle de store landene til å skrive under på ""Kyoto avtalen "" og binde seg til dette Får så og legge press på de mindre landene Hjelper ikke at vi skal gå langt foran på alt ";"We need to get all major countries to sign the ""Kyoto Protocol"" and bind to this Will so and put pressure on the smaller countries does not help us to go far ahead of everything"
2;2;1;0,5;0,3333333;0;1;Vi må forurense mindre og hjelpe de landene som er mest utsatt for dette;We must pollute less and help the countries that are most susceptible to this
3;1;1;1;0;550000;3;Vi kan gjøre mye mer enn det vi gjør nå;We can do much more than we do now
4;1;1;0,75;0,6666667;360000;3;Vi har dårlig tid;We're in a hurry
5;1;0;0,5;0,3333333;390000;2;Vi har alltid hatt store eller mindre endringer;We have always had great or minor changes
5;1;1;0,75;0,3333333;660000;3;Vi forbruker fosilt brensel uhyggelig fort;We consume fosilt fuel grim fort
2;1;0;0,25;0,6666667;436000;3;Vi finner snart teknologiske løsninger på alle disse problemene;We soon find technological solutions to all these problems
1;2;1;0,5;0,6666667;0;2;vi burde kanskje gjøre noe med klimaendringene;we should maybe do something about climate change
1;2;1;0,75;0,3333333;66000;2;Vi burde begynne å tenke på over at mye av det vi gjør er skylden til klimaendringer som tyfon tsunami osv;We should start thinking about that much of what we do is blame to climate change as typhoon tsunami etc.
1;2;0;0,75;0;150000;1;vet ikke har ikke satt meg inn i verden vår sånn enda;do not know do not put me into the world our way yet
5;1;1;1;0,6666667;700000;3;Verdenssamfunnet bør se sin bsøkelsestid;The international community should see their bsøkelsestid
4;2;1;1;0;378350;3;Verdens undergang;The end of the world
4;1;0;0,25;0,3333333;579000;0;Verdens største svindel Man kan påvirke miljøet men ikke klimaet;World's fraud Man can affect the environment but not the climate
6;1;1;0,75;0,6666667;360000;2;Verdens gang gjennom tidene;World time through the ages
4;2;1;1;0,6666667;250000;3;Verden kommer til å gå under dersom vi ikke skjønner at vi må ta dette mer på alvor Pol-isen smelter i rekordfart små og store naturkatastrofer er i ferd med å øke i omfang Mange u- land er i ferd med ekspandere økonomisk og kommer til å forurense mer i fremtiden Alle må skjerpe seg ikke minst USA og Europa;The world is going to go under if we do not realize that we need to take this more seriously Pol-ice melts at record small and large natural disasters is about to increase in scope Many developing countries are in the process of expanding economic and going to pollute more in the future Everyone needs to sharpen up, not least the United States and Europe
3;1;1;0,25;0,3333333;900000;2;verden i endring og vi må tilpasse oss;changing world and we must adapt to
6;1;0;0;0;520000;3;"Verden har alltid opplevd klimaendringer også lenge før mennesket var istand til å påvirke Trenden videre er vel at verden går henimot en ny istid Kanskje såkalte menneskeskapte ""klimaendringer"" kan være med på å utsette dette skremmende senario ";"The world has always experienced climate changes too long before humans were able to influence the trend further, well the world go toward a new ice age Perhaps so-called man-made ""climate change"" may be involved in exposing this frightening scenario"
4;1;1;0,75;1;550000;2;Verden blir dårligere;The world is getting worse
2;1;0;1;0,6666667;14000;1;Verden;World
1;2;1;0,5;0,3333333;100000;2;veldig kipt;very kipt
3;1;1;1;0,6666667;0;2;veldig forstyrrende;very disturbing
3;1;1;1;0,6666667;140;2;veldig beskumret Veldig dårlig på alle;very beskumret Very bad at all
1;1;0;0,25;0,3333333;400000;2;Vas;you
5;2;1;0,5;0,3333333;440000;3;Varmt vått vær og havstigning;Warm wet weather and sea level rise
4;1;1;0;0,3333333;150000;2;Varmt vær drivstoffmangel og arbeidsledighet Og sannsynligvis mat og medisin problemer Helsespørsmål generelt;Warm weather fuel shortages and unemployment And probably food and medicine issues Health issues in general
4;2;1;0,75;0,6666667;540000;3;Varmere/våtere vær;Warmer / wetter weather
3;1;1;0,5;0,3333333;720000;3;varmere våtere villere;warmer wetter wilder
4;2;0;0,5;0,6666667;620000;3;Varmere våtere og mer voldsomt vær;Warmer wetter and more violent weather
4;1;1;0,5;0,3333333;1200000;2;Varmere våtere og mer ekstrem vær;Warmer wetter and more extreme weather
5;1;1;1;0,6666667;1200000;3;Varmere våtere klima (for oss) mere ekstremt vær;Warmer wetter climate (for us) more extreme weather
5;1;0;0,5;0,3333333;0;3;varmere vær---ah herlig;warmer weather --- ah delightful
5;1;0;0,25;0,3333333;0;3;varmere vær og regn;warmer weather and rain
5;1;0;0,25;0,3333333;600000;3;Varmere vær mere nedbør Norge vinner igjen;Warmer weather more rainfall Norway wins again
4;1;0;0,25;0,6666667;1500000;3;Varmere vær Mer regn;Warmer weather More rain
4;1;1;0,75;0;750000;3;varmere vær høyere vannstand mer ekstremvær mer innvandring;warmer weather higher water levels more extreme more immigration
5;1;0;0,5;0,3333333;300000;2;Varmere vær;warmer weather
4;2;1;0,75;0,3333333;1000000;3;varmere vær;warmer weather
4;2;1;0,5;0,3333333;500000;3;Varmere vintre og våtere somre;Warmer winters and wetter summers
2;2;1;0,25;0,3333333;300000;3;Varmere vintre;warmer winters
4;2;1;0,75;0,6666667;300000;3;Varmere villere og våtere klima;Warmer wilder and wetter climate
1;2;1;0,5;0,3333333;0;3;Varmere temperaturer enn før;Warmer temperatures than before
5;2;1;0,75;0,6666667;600000;2;Varmere somre kaldere vintre;Warmer summers colder winters
5;1;1;0,5;0,6666667;750000;3;Varmere på jorda;Heaters on Earth
5;2;1;0,5;0,6666667;640000;3;Varmere og våtere og stormer;Warmer and wetter and storms
1;1;1;0,25;0,3333333;30000;2;Varmere og våtere klima;Warmer and wetter climate
5;1;0;0,25;0,3333333;500000;2;Varmere og våtere;Warmer and wetter
3;2;1;0,75;0,6666667;570000;3;Varmere og mer ustabilt ekstrem vær;Warmer and more unstable extreme weather
1;1;0;0,25;0,6666667;0;2;Varmere og mer regn;Warmer and more rain
4;2;1;0,75;0,6666667;454000;3;Varmere mer reg og ekstremvær;Warmer more reg and extreme weather
3;1;1;0,5;0,3333333;470000;3;Varmere klima smelting av polis mere ekstremvær;Warmer climate melting polis more extreme
3;2;0;0,25;0,3333333;500000;2;Varmere klima smelting av is;Warmer climate melting of ice
2;1;0;0,5;0,3333333;450000;2;Varmere klima på polene Is smelting;A warmer climate at the poles Ice melting
4;2;1;0,5;0,3333333;750000;3;Varmere klima om sommeren;Warmer climate in summer
6;2;1;0,5;0,3333333;225000;2;varmere klima mindre snø mer regn;warmer climates less snow more rain
3;2;0;0,5;0,3333333;310000;2;Varmere klima meir nedbør forurensing;Warmer climate more precipitation pollution
3;1;1;0,75;0,3333333;700000;2;Varmere klima grunna for mykje utslepp av negativ forurensing;Warmer climate shallows for Much discharge of negative pollution
5;1;1;0,5;0,3333333;400000;2;varmere klima;warmer climate
4;2;1;0,75;0;430000;3;Varmere gjennomsnittstemperaturer sterkere stormer jordras mindre forskjell mellom årstider i Norge smelting av polene mer regn slutt på kalde vintre og tørre somre flommer dødsfall pga uvær havnivået stiger Kun negative ting;Warmer average temperatures stronger storms landslides less difference between the seasons in Norway melting of the poles more rain ending the cold winters and dry summers floods deaths due to storms sea level rise only negative thing
1;1;1;0,25;0,3333333;0;2;Varmere (kan bli godt frys mæ ihjæl her oppi nord );Heaters (can be good freezer mæ ihjæl up here in the north)
5;1;1;0,75;0,6666667;250000;3;Varmere - mer ekstremvær;Heaters - more extreme weather
5;1;0;0,75;0,6666667;420000;2;Varmere;heaters
3;1;1;0,75;0,6666667;575000;3;Varmere;heaters
4;1;1;0,5;0,3333333;650000;0;Varmere;heaters
4;1;0;0,25;0;650000;2;varmere;heaters
5;1;0;0,5;0,3333333;450000;2;Varmere;heaters
3;2;1;0,75;0,3333333;0;2;Varmere;heaters
3;1;1;0,5;0,6666667;450000;2;Varmere;heaters
4;2;1;0,75;1;180000;2;varmere;heaters
3;2;1;0,75;0,6666667;450000;3;varmere;heaters
2;2;0;0,75;0,3333333;270000;1;varmeklima;warm climate
2;1;1;0,75;0,3333333;450000;2;Varme vann oversvömmelser;Warm water flooded
5;2;1;0,75;0,3333333;800000;3;varme uvær lite mat til verdens befolkning;heat storms little food to the world's population
6;2;1;1;0,3333333;350000;1;Varme sommere mye nedbør;Hot summers heavy precipitation
3;2;1;0,5;0,6666667;430000;3;Varme snøsmelting;heat snowmelt
1;2;1;0,5;0,3333333;0;0;Varme rein;heat reindeer
2;1;1;1;0,6666667;168000;1;varme;heat
1;2;1;1;0,6666667;100000;3;Varme;Heat
4;2;1;0,5;0,3333333;660000;3;varme;heat
6;1;0;0,5;0;370000;1;varmare-kortare vintrar mer uvæer storm oversvømmelse etc;heater-less winters more uvæer storm oversvømmelse etc.
3;2;1;0,5;0,3333333;0;3;Varmare ver Meir storm/regn og fleire naturkatastrofer;Heater ver Meir storm / rain and several natural disasters
5;2;1;0,75;0,6666667;0;1;Varmare;warmer
3;1;1;0,75;0,3333333;330000;3;Varige forandringer av temperatur og nedbørsmengde utover det som er normalt;Lasting changes of the temperature and rainfall beyond that normally
2;2;0;0,5;0,3333333;450000;3;Vanskelig å si hva klimaendringene kommer av!;Hard to say what climate change is going on!
6;1;1;0,75;0,3333333;350000;3;Vanskelig å reversere men mulig tross meget sterke økonomiske krefter imot;Difficult to reverse but possible despite very strong economic forces opposed
5;1;1;0,75;0,3333333;700000;3;Vanskelig å forholde seg til viktig med god saksopplysninger;Difficult to deal with important good case information
3;2;1;0,75;0,6666667;0;2;Vanskelig ord å forstå;Difficult words to understand
4;1;1;0,75;0,3333333;200000;3;Vanskelig;Difficult
2;2;0;0,5;0,3333333;0;2;vanskelig;difficult
2;1;0;0,25;0;480000;3;Vannstanden stiger;The water level rises
4;1;0;0,25;0,3333333;500000;3;Vannstand;Water level
2;1;1;0,75;0;500000;2;vannstand;water level
3;2;1;0,75;0,6666667;150000;2;vannnivået stiger;water level rises
2;1;1;0,75;0,6666667;468000;3;Vannmangel;water Shortage
4;2;0;0,25;0,3333333;1200000;3;Vannet stiger mye vann og ødleggelser somfølge av vann;The water is rising much water and ruin somfølge of water
1;1;0;0,25;0,3333333;400000;2;Vann Økt ekstremvær og endringer i ulike geografiske klima Jorden har alltid vært i endring men vi må selv vise respekt for naturkreftene med å begrense utslipp og holde naturen renest mulig;Water Increased extreme weather events and changes in different geographical climate earth has always been changing but we must show respect for the forces of nature to reduce emissions and keep nature clean as possible
4;1;0;0,5;0,3333333;600000;2;vann- vind- regn;water wind rain
4;2;1;0,75;0,6666667;550000;3;Vann orkan katastrofe død;Water hurricane disaster death
2;2;0;0,25;0;460000;3;vann co2;water co2
2;2;1;0,75;0,3333333;300000;3;Vann (flom øket havnivå);Water (flood increased sea level)
3;1;0;0,5;0,3333333;400000;2;Vann;Water
5;1;1;0,75;0,3333333;550000;3;Uvær temperatur endring naturkatastrofer;Severe weather temperature variation natural disasters
5;2;1;1;0,3333333;600000;3;Uvær storm ukontrollert temperaturøkning;Severe weather storm uncontrolled temperature rise
3;2;1;0,75;0,6666667;350000;3;uvær og ødeleggelser;storms and destruction
5;2;1;0,75;0,3333333;480000;2;uvær naturkatastrofer;storms natural disasters
4;2;1;0,5;0,3333333;275000;1;Uvær milde vintre issmelting;
4;2;1;0,5;0,6666667;450000;3;Uvær høyere temperatur redd!! noe bør gjøres alle kan gjøre noe for å redusere klimaendringene;
3;1;1;0,5;0,3333333;800000;2;Uvær flom katastrofer tidsnød forurensing Kina;
4;2;1;0,75;0,3333333;454000;3;uvær flom havet stiger;
5;2;1;0,75;0,3333333;440000;3;Uvær flom;
5;1;1;0,5;0,3333333;800000;2;Uvær;
4;2;0;0,75;0,3333333;450000;3;Uvær;
6;1;0;0,5;0,3333333;250000;2;Uvær;
4;1;1;0,25;0,3333333;650000;3;Uvær;
2;1;1;0,75;0,3333333;420000;2;Uvær;
5;2;1;0,5;0,3333333;600000;2;Uvær;
3;2;1;0,75;0,3333333;510000;3;Uvær;
5;2;1;1;0,6666667;600000;3;Uvær;
6;1;0;0,5;0,3333333;480000;3;Uvær;
3;2;1;0,75;0,3333333;0;3;Uvær;
4;2;1;0,75;0,3333333;200000;3;Uvær;
3;1;1;1;0,3333333;675000;3;Uvær;
4;2;1;0,5;0,6666667;500000;2;uvær;
5;1;1;0,75;0;1000000;1;Uvær;
5;1;1;0,75;0,3333333;810000;3;Uvær;
5;2;1;0,5;0,3333333;350000;1;uvær;
5;2;1;0,75;0,3333333;0;2;uvær;
5;2;1;0,75;0,3333333;365000;1;Uvær;
4;1;1;0,75;0,3333333;480000;3;Uvær;
4;1;1;0,75;0,3333333;850000;3;uvær;
2;1;1;1;0,6666667;310200;3;Uventede konsekvenser;
5;1;1;0,5;0,3333333;1400000;3;uunngåelig;
