;age;gender;humanmade;concern;efficacy;income;edu3;openanswer;translation
19;3;1;1;0.5;0.3333333;610000;3;Økt innhold av CO2 i atmosfæren og dens påvirkning på global temperatur;Aukið innihald CO2 í andrúmsloftinu og áhrif þess á alþjóðlegt hitastig 
20;3;2;1;0.75;0.6666667;515000;3;Økt havnivå;Aukin sjávarmáli 
21;2;2;1;0.5;0.6666667;370000;2;Økt CO2 og høye utslepp fra fly;Aukin CO2 og hár vernd frá flugvélum 
22;5;1;1;0.5;0.3333333;590000;3;Økt CO2 nivå pga bruk av fossilt brensel Økt temperatur;Aukin CO2 stig vegna notkunar jarðefnaeldsneytis aukið hitastig 
23;5;1;1;0.75;0.3333333;1200000;3;Økonomisk grådighet;Efnahagsleg græðgi 
24;3;2;0;0.25;0.3333333;450000;3;Økning i gjennomsnittstemperatur på jorden ;Hækkun á meðalhiti á jörðinni 
25;5;1;1;1.0;0.3333333;500000;3;Økning i ekstremvær;Aukning í mikilli veðri 
26;4;2;1;0.25;0.3333333;510000;3;Økning av havnivå;Auka sjávar stig 
27;6;1;0;0.75;0.3333333;650000;3;Økning av gjennomsnittlig årstemperatur smelting av polarisen sterkere stormer og skadelig uvær enkelte områder på jorda Stigning av havflaten oversvømmelser ;Aukin meðaltal árleg hitastig Melting Polaris Sterkari stormar og skaðlegir stormar Sumir sviðir á jörðinni hækka með flóðum í sjó 
28;3;1;1;0.75;0.6666667;550000;3;Økning av gjennomsnittlig temperatur Global issmelting;Hækkun á meðalhita Global Ice Melting 
29;1;1;1;0.0;0.0;0;1;"Økning av ""Sealevels"" Mindre skog Stakkars søte isbjørner Dømmer menneskeheten i enden Kult me apokalypse da men :/";"Aukning á ""Sealvels"" minna skógur léleg sætur ísbjörn dómari mannkynið í enda kæla mig Apocalypse þá en: / "
30;4;1;0;0.5;0.6666667;100000;2;Øket gjennomsnittstemperatur på jorda og spesielt i nordområder;Aukin meðalhiti á jörðinni og sérstaklega á norðursvæðum 
31;1;2;1;0.25;0.3333333;40000;1;økende utslipp av klimagasser økende temperaturer og havnivå konsekvenser atmosfæren og ozonlaget ;Aukin losun gróðurhúsalofttegunda sem auka hitastig og sjávarstig afleiðingar andrúmsloftið og ósonlagið 
32;3;1;1;1.0;0.3333333;1100000;3;Økende temperatur Skiftende vær Norsk olje;Aukin hitastig Breyting Veður Norwegian olía 
33;2;1;1;0.5;0.6666667;370000;2;Økende temperatur;Aukin hitastig 
34;5;1;1;0.75;0.3333333;600000;3;Økende forurensning (meneskeskapt);Auka mengun (tölva 
35;2;1;1;0.75;0.6666667;0;3;ødeleggelser;eyðilegging 
36;5;1;1;0.5;0.3333333;0;3;Ødeleggelse;Eyðilegging 
37;5;2;1;1.0;0.6666667;0;3;Ødeleggelse;Eyðilegging 
38;1;2;1;0.25;0.3333333;80000;3;æsj;Yuck. 
39;6;1;1;0.75;0.6666667;300000;3;Ytterst vanskelig å få på plass internasjonale forpliktelser;Mjög erfitt að komast í stað alþjóðlegra skuldbindinga 
40;3;1;1;0.5;0.6666667;1100000;3;www 360 no;www 360 nr 
41;4;1;1;0.75;0.3333333;360000;3;We are too comfortable to worry about it ;Við erum of þægileg að hafa áhyggjur af því 
42;4;1;1;1.0;0.6666667;400000;2;Vått vær;Blautur veður 
43;4;2;1;0.75;0.3333333;510000;3;Våtere villere varmere;Wet Wilders Warmer. 
44;5;1;1;0.75;0.3333333;500000;3;Våtere og villere;Blautur og wilder. 
45;5;2;1;0.75;0.3333333;3200000;2;Våtere og varmere;Wetter og hlýrri 
46;2;1;1;1.0;0.3333333;800000;3;Våre barnebarn komme til å fordømme vår generasjon for at vi ikke gjorde det som var nødvendig ;Barnabörn okkar koma til að fordæma kynslóð okkar sem við gerðum ekki það sem þarf 
47;6;1;0;0.25;0.3333333;450000;3;Vår tids religion der helvete er erstattet med klimakatastrofe;Spring Trúarbrögð þar sem helvíti er skipt út fyrir loftslagsbreytingu 
48;1;1;1;1.0;0.3333333;340731;2;Växthuseffekten;Gróðurhúsaáhrif 
49;2;1;1;1.0;0.3333333;400000;1;Værskifte;Reignation. 
50;2;1;1;0.75;0.3333333;510000;3;Værproblematikk: høyere temperatur større svingninger issmelting/høyere vannstand vind og nedbør ;Veðurvandamál: Hærri hitastig Greater sveiflur Ice Melting / Hærra vatnsborðsvindur og úrkoma 
51;4;2;1;0.75;0.3333333;400000;3;Værkatastrofer;Vastery. 
52;4;2;1;1.0;0.3333333;462000;3;Værkatastrofer;Vastery. 
53;5;2;1;0.5;0.3333333;370000;2;Værforholdene ;Veðurskilyrði 
54;2;2;0;0.5;0.6666667;270000;2;værforholdene;Veðurskilyrði 
55;3;2;0;0.25;0.3333333;425000;2;Værforhold;Veðurföt 
56;6;2;0;0.25;0.0;180000;2;Værforhold;Veðurföt 
57;5;1;1;0.75;0.6666667;570000;2;Værforandringer og hyppigere ekstremforhold ;Veðurbreytingar og tíðari erfiðleikar 
58;4;2;1;0.5;0.6666667;400000;3;Værforandringer mye nedbør og vind ;Veður breytist mikið af úrkomu og vindi 
59;5;2;1;1.0;0.3333333;548000;1;Værforandringer Mer ekstremvær ;Veður breytist meira Extreme Weather 
60;4;1;1;0.75;0.3333333;520000;3;Værforandringer Matkriser Vannkrise Ozonlaget ;Veður BREYTA MATKRICES WATER CRISIS OZONE LAYER 
61;2;2;1;0.75;0.3333333;120000;2;Værforandringer forrurenssing ;Veður breytir Brugence. 
62;3;2;0;0.5;0.6666667;430000;3;værforandringer;Veðurbreytingar 
63;4;2;1;0.25;0.3333333;350000;2;værforandringer;Veðurbreytingar 
64;5;1;1;0.5;0.0;240000;2;værforandringer;Veðurbreytingar 
65;4;2;1;0.5;0.3333333;410000;3;værforandringer;Veðurbreytingar 
66;5;2;1;0.75;0.6666667;420000;3;værforandringer;Veðurbreytingar 
67;3;1;0;0.25;0.0;650000;2;Værforandringer;Veðurbreytingar 
68;4;2;1;0.5;0.3333333;460;2;Værforandringer;Veðurbreytingar 
69;5;2;1;0.25;0.0;400;2;Værforandringer;Veðurbreytingar 
70;3;1;0;0.75;0.6666667;0;0;Været og når det vil snø;Veðrið og þegar það verður snjór 
71;2;1;1;0.75;0.3333333;324000;1;Været har forendret seg ;Veðrið hefur breyst 
72;2;2;1;0.75;0.3333333;308000;2;været forandrer seg;Veðrið breytist 
73;6;2;1;0.75;0.0;271047;2;Været er forandret Snøen er så møkkete Regnet er møkkete ;Veðrið hefur breyst Snjórinn er svo óhreinn rigning er óhreinn 
74;5;1;0;0.5;0.6666667;260000;3;været ;verið 
75;4;2;1;0.5;0.3333333;280000;1;været;verið 
76;3;2;0;0.5;0.3333333;500000;2;Været;Verið 
77;3;2;0;0.5;0.0;351000;1;Været;Verið 
78;5;2;1;0.5;0.6666667;350000;2;Været;Verið 
79;3;2;1;0.5;0.3333333;100000;3;været;verið 
80;3;2;1;0.5;0.6666667;250000;2;været;verið 
81;1;1;1;0.25;0.6666667;40000;2;Været;Verið 
82;4;2;1;0.75;0.3333333;452000;0;Været;Verið 
83;1;2;0;0.25;0.3333333;100000;2;Værendringer;Vegir 
84;1;2;1;0.75;0.3333333;0;3;Værendring;Ábyrgð 
85;2;1;1;0.75;0.3333333;490000;2;Vær utslipp miljø;Vera útskrift umhverfi 
86;3;1;1;0.75;0.3333333;490000;3;Vær skifte;Vera vakt 
87;3;2;1;0.75;0.3333333;650000;3;vær regn co2;Vera rigning CO2. 
88;4;1;1;0.75;0.3333333;350000;2;Vær- og tempraturforandringer;Veður og Tempratural breytingar 
89;6;1;1;1.0;0.6666667;450000;3;Vær og temperaturendriger;Vera og hitastig endar 
90;3;2;1;0.75;0.3333333;0;3;vær og issmelting;Veður og ísbræðsla 
91;2;2;1;0.75;0.3333333;60000;3;vær forandrnger global oppvarming ozon laget forurensning av lufta;Veður Forand Global Warming Ozone gerði mengun loftsins 
92;3;2;1;1.0;0.6666667;430000;3;Vær flom snøsmelting temperatur;Vera flóð snjóbræðsluhiti 
93;3;2;1;1.0;0.3333333;740000;3;Vær (storm ekstra kaldt ekstra varmt polsmelting) og ozonlag;Veður (stormur aukalega kalt auka heitur stöng bráðnun) og ósonlag 
94;4;1;0;0.5;0.6666667;500000;1;Vær;Veðurföt 
95;5;2;1;0.75;0.3333333;570000;3;vær;veðurföt 
96;3;2;1;0.75;0.3333333;470000;3;Vær;Veðurföt 
97;5;1;1;0.75;0.6666667;370000;2;Vær;Veðurföt 
98;5;1;1;0.75;0.3333333;540000;3;vær;veðurföt 
99;4;1;1;0.5;0.3333333;500000;3;Vær;Veðurföt 
100;3;2;0;0.25;0.3333333;530000;3;vær;veðurföt 
101;4;1;0;0.0;0.0;530000;2;vulkanutbrudd;Eldgos 
102;7;1;1;0.75;0.0;400000;3;Voldsommere vær havet stiger;Ofbeldi vera sjó hækkandi 
103;4;2;1;0.5;0.6666667;550000;3;Voldsomme uvær issmelting havnivået stiger fortvilte mennesker ødeleggelser økende forskjeller;Ofbeldi stormur ís bráðna sjávar stig rís örvæntingarfullt fólk eyðileggingu vaxandi munur 
104;5;2;1;0.5;0.6666667;290000;3;vintrene blir mildere og våtere Mer ekstremvær ;Winters verða mildari og wetter meira öfgafullt veður 
105;3;2;1;0.75;0.6666667;748000;3;Vinterstormer;Vetrar stormar 
106;6;1;0;0.25;0.3333333;300000;1;vinteren er like kald ;Vetur er alveg eins og kalt 
107;2;2;1;0.75;0.6666667;390000;3;Vinteren blir varm og snø og kulde forsvinner= negativt;Vetur fær heitt og snjór og kalt hverfur = neikvæð 
108;6;1;1;1.0;0.6666667;40000;1;Vindstyrke;Vindur 
109;1;2;0;0.5;0.3333333;0;2;vindmøller vær bil buss skole plan;Windmills vera bíll strætó skóla áætlun 
110;6;1;1;0.75;0.6666667;800000;3;vind vann luft;Vindur vatn loft 
111;6;1;1;0.75;0.6666667;350000;1;vind regn katastrofer;vindur rigningar hamfarir 
112;5;2;1;0.75;0.6666667;700000;3;Vind og regn Negativt skremmende ;Vindur og rigning neikvæð ógnandi 
113;3;1;0;0.5;0.3333333;630000;3;Vind og nedbør;Vindur og úrkoma 
114;3;2;1;0.25;0.6666667;150000;1;vind og flom;Vindur og flóð 
115;5;1;1;0.5;0.3333333;190000;1;vind nedbør;Vindur úrkomu. 
116;4;1;1;0.5;0.6666667;0;2;Vind;Finna. 
117;4;2;0;0.5;0.3333333;477000;3;vilt vått;villt blautur 
118;4;2;1;0.75;0.6666667;150000;3;Villere våtere og varmere!;Villers Wetter og hlýrri! 
119;6;2;0;0.75;0.3333333;350000;3;villere varmere våtere;Wilders hlýrri wetter. 
120;2;2;1;1.0;0.3333333;450000;1;villare våtare vær tap av diverse dyrearter td isbjørner menneskeskapt og det må gjørest noke FØR det er forseint vi har ikkje god tid der kan du sei ;Villare Wetare Veðurlos á ýmsum dýrategundum TD Polar Bears Man-Made og það verður að tilkynna áður en það er forseint Við höfum ekki góðan tíma þar sem það getur verið seiði 
121;6;2;1;0.5;0.3333333;162000;1;vil det medføre et bedre vær - eller et verre vær?;Mun það leiða til betri veðurs - eða verra veður? 
122;1;2;0;0.5;0.3333333;100000;1;Viktig å ta vare på klimaet;Mikilvægt að sjá um loftslagið 
123;1;1;0;0.5;0.3333333;100000;2;Viktig tema som bør tas på alvor ;Mikilvægt efni sem ætti að taka alvarlega 
124;1;2;1;1.0;0.6666667;120000;3;"Viktig (første ord jeg tenkte på) (Deretter: ) De fleste enes idag om at klimaendringene er menneskeskapte men de færreste tenker at ens egne handlinger eller mer generelt ens egen livstil påvirker klimaet ""Ja en burde nok sikkert det "" er standardssvar jeg selv opplever å få når jeg prøver å påvirke mine nærmeste til å ta klimavennlige valg men jeg opplever skjeldent at noe gjøres ";"Mikilvægt (fyrsta orð sem ég var að hugsa um) (þá :) Flestir eru sammála í dag að loftslagsbreytingar séu tilbúnar en færir að hugsa um að eigin aðgerðir manns eða almennt eigin lífsstíl hafi áhrif á loftslagið ""Já, einn ætti líklega að gera það"" er staðlað að Komdu þegar ég reyni að hafa áhrif á næstum að taka loftslagsvænt val en ég er að upplifa slæmt að eitthvað sé gert "
125;5;1;1;0.75;0.6666667;900000;2;Viktig;Mikilvægt 
126;5;2;0;0.5;0.6666667;245000;1;Vi ødelegger vår klode - ozonlaget - søppel;Við eyðileggum heiminn okkar - ósonlagið - sorp 
127;4;1;1;0.5;0.6666667;430000;2;Vi vil jobb for klima men lever og reiser som før Pengene styrer;Við munum vinna fyrir loftslag en lifa og ferðast eins og fyrir peningastefnuna 
128;6;1;1;0.75;0.3333333;230000;2;Vi ser resultatet av klimaendringer daglig nå Mer naturkatastrofer ;Við sjáum niðurstöðu loftslagsbreytinga daglega nú meira náttúruhamfarir 
129;7;1;1;0.75;0.6666667;500000;2;Vi må være flinkere til å spare alt: lys bilkjjøring matvaner spise mere nærprodusert mat kutte ut mye import spise norske poteter og epler osv vi har en utrolig frotsing i matveien Se de fulle hadlekurvene folk propper med usund (ofte) mat Dra til fjells istedenfor syden!;Við verðum að vera betra að vista allt: Létt bíll skjóta matarvenjur borða meira nær framleiddan mat skera út mikið af innflutningi að borða norska kartöflur og epli osfrv. Við höfum ótrúlega ilmandi í matnum, sjá að fullu hrár körfum fólk stinga við USD (oft ) Matur fer í fjöllin í stað suðurs! 
130;2;1;1;0.75;0.6666667;420000;3;Vi må tilpasse oss endringer som skjer på jorda Vi vet at disse endringene skjer og vi bør jobbe med løsninger ikke diskutere hvorvidt disse er menneskeskapte eller ikke Bruk av fossile brensler er en begrenset ressurs og vi bør jobbe for å gjøre oss mye mindre avhengig av dette på sikt Bærekraftig ressursbruk deriblant i energiproduksjon er en av de viktigste løsningene vi bør jobbe med Teknologi og utvikling samt en endring bort fra det materialistiske livssynet på verden er veien å gå ;Við verðum að laga sig að breytingum sem gerast á jörðinni Við vitum að þessar breytingar eiga sér stað og við ættum að vinna með lausnir ekki ræða hvort þetta sé tilbúið eða ekki að nota jarðefnaeldsneyti er takmörkuð auðlind og við ættum að vinna að því að gera okkur miklu minna háð því að til lengri tíma litið sjálfbæra nýtingu auðlinda, þar á meðal orkuframleiðslu, ein mikilvægasta lausnir sem við ættum að vinna með tækni og þróun og breytingu í burtu frá efnishyggju heimsins er leiðin til að fara 
131;2;1;1;0.5;0.3333333;14000;2;Vi må tenke av det men vi må ikke gjøre noe avgifter for dette fordi det er kneyttet med hele verden Det gjøre ingenting mot klimaendringer hvis bare norge engasjert seg ;Við verðum að hugsa um það en við verðum ekki að gera neinar gjöld fyrir þetta vegna þess að það er bankað með allan heiminn sem það gerir ekkert gegn loftslagsbreytingum ef aðeins Noregur stundaði 
132;2;1;1;1.0;0.6666667;13500;2;Vi må stå sammen til å sikre neste generasjon når det gjelder om klima ;Við verðum að standa saman til að tryggja næstu kynslóð hvað varðar loftslag 
133;5;2;1;0.75;0.6666667;350000;2;Vi må redusere utslipp og fornye bilpark til mer miljøvennlig ;Við verðum að draga úr losun og endurnýja bílastæði til umhverfisvænni 
134;7;2;1;1.0;0.3333333;200000;3;Vi må gjøre noe med det! En vet at en må begynne med seg selv Hver enkelt av oss må begynne å leve mer miljøvennlig en føler at en har en lang vei å gå!;Við verðum að gera eitthvað um það! Maður veit að maður verður að byrja með sjálfum sér hver og einn okkar verður að byrja að lifa meira umhverfisvænni telur að maður hafi langa leið til að fara! 
135;5;1;1;1.0;0.6666667;400000;3;Vi må gjøre noe for å få ned utslippene ;Við verðum að gera eitthvað til að koma niður losuninni 
136;1;2;1;0.75;0.3333333;20000;1;Vi må gjøre noe;Við verðum að gera eitthvað 
137;6;1;1;1.0;0.6666667;310000;2;Vi må gjøre mere på områder som handler om fornybar energi samt stoppe nedhugging og utnyttelse av regnskogene De som bedriver miljø-kriminalitet må straffes mye hardere ;Við verðum að gera meira á svæðum sem eru um endurnýjanlega orku sem og stöðva sökkva og nýta regnskógana þá sem framkvæma umhverfisbrot verða að vera refsað miklu erfiðara 
138;3;2;1;0.75;0.6666667;300000;2;Vi må gjøre mer for å redde jorda!;Við verðum að gera meira til að bjarga jarðvegi! 
139;2;1;1;0.75;0.3333333;560000;2;vi må få ut fingern;Við þurfum að komast út á fingurna 
140;3;1;1;0.5;0.6666667;320000;3;"Vi må få alle de store landene til å skrive under på ""Kyoto avtalen "" og binde seg til dette Får så og legge press på de mindre landene Hjelper ikke at vi skal gå langt foran på alt ";"Við verðum að fá öll stóru löndin að skrifa undir ""Kyoto-samninginn"" og binda þar til þetta gerist svo og setja þrýsting á smærri löndin hjálpa okkur ekki að fara langt á undan öllu "
141;2;2;1;0.5;0.3333333;0;1;Vi må forurense mindre og hjelpe de landene som er mest utsatt for dette ;Við verðum að menga minni og hjálpa þeim löndum sem mest verða fyrir þessu 
142;3;1;1;1.0;0.0;550000;3;Vi kan gjøre mye mer enn det vi gjør nå ;Við getum gert miklu meira en það sem við gerum núna 
143;4;1;1;0.75;0.6666667;360000;3;Vi har dårlig tid;Við höfum slæmt tíma 
144;5;1;0;0.5;0.3333333;390000;2;Vi har alltid hatt store eller mindre endringer ;Við höfum alltaf haft meiriháttar eða minniháttar breytingar 
145;5;1;1;0.75;0.3333333;660000;3;Vi forbruker fosilt brensel uhyggelig fort;Við neytum fossaeldsneyti skelfilegt hratt 
146;2;1;0;0.25;0.6666667;436000;3;Vi finner snart teknologiske løsninger på alle disse problemene ;Við munum fljótlega finna tæknilegar lausnir á öllum þessum málum 
147;1;2;1;0.5;0.6666667;0;2;vi burde kanskje gjøre noe med klimaendringene;Við gætum þurft að gera eitthvað um loftslagsbreytingar 
148;1;2;1;0.75;0.3333333;66000;2;Vi burde begynne å tenke på over at mye av det vi gjør er skylden til klimaendringer som tyfon tsunami osv ;Við ættum að byrja að hugsa um það mikið af því sem við gerum er að kenna fyrir loftslagsbreytingum eins og Typhoon Tsunami osfrv 
149;1;2;0;0.75;0.0;150000;1;vet ikke har ikke satt meg inn i verden vår sånn enda ;Veit ekki ekki að setja mig inn í heiminn okkar svo að 
150;5;1;1;1.0;0.6666667;700000;3;Verdenssamfunnet bør se sin bsøkelsestid ;Heimssamfélagið ætti að sjá B og 
151;4;2;1;1.0;0.0;378350;3;Verdens undergang ;Lok heimsins 
152;4;1;0;0.25;0.3333333;579000;0;Verdens største svindel Man kan påvirke miljøet men ikke klimaet ;Stærsta svik heimsins getur haft áhrif á umhverfið en ekki loftslagið 
153;6;1;1;0.75;0.6666667;360000;2;Verdens gang gjennom tidene;Tíminn heimsins í gegnum aldirnar 
154;4;2;1;1.0;0.6666667;250000;3;Verden kommer til å gå under dersom vi ikke skjønner at vi må ta dette mer på alvor Pol-isen smelter i rekordfart små og store naturkatastrofer er i ferd med å øke i omfang Mange u- land er i ferd med ekspandere økonomisk og kommer til å forurense mer i fremtiden Alle må skjerpe seg ikke minst USA og Europa;Heimurinn er að fara að fara að neðan Ef við gerum okkur grein fyrir því að við verðum að taka þetta alvarlega, stöngin bráðnar í upptökuhraða Lítil og stór náttúruleg hörmungar eru í því ferli að auka í umfangi margra verktaka í því ferli að auka fjárhagslega og eru að menga meira í framtíðinni, allir verða að skerpa ekki að minnsta kosti í Bandaríkjunum og Evrópu 
155;3;1;1;0.25;0.3333333;900000;2;verden i endring og vi må tilpasse oss ;heimurinn breytinga og við verðum að laga sig 
156;6;1;0;0.0;0.0;520000;3;"Verden har alltid opplevd klimaendringer også lenge før mennesket var istand til å påvirke Trenden videre er vel at verden går henimot en ny istid Kanskje såkalte menneskeskapte ""klimaendringer"" kan være med på å utsette dette skremmende senario ";"Heimurinn hefur alltaf upplifað loftslagsbreytingar líka lengi áður en maðurinn gat haft áhrif á þróunina enn frekar er að heimurinn fer Henimot nýtt ísöld, kannski svokölluð tilbúið ""loftslagsbreytingar"" getur hjálpað til við að afhjúpa þessa ógnvekjandi Senario "
157;4;1;1;0.75;1.0;550000;2;Verden blir dårligere;Heimurinn verður verri 
158;2;1;0;1.0;0.6666667;14000;1;Verden;Heimurinn 
159;1;2;1;0.5;0.3333333;100000;2;veldig kipt ;Mjög kjóll 
160;3;1;1;1.0;0.6666667;0;2;veldig forstyrrende;Mjög truflandi 
161;3;1;1;1.0;0.6666667;140;2;veldig beskumret Veldig dårlig på alle ;Mjög lýst mjög slæmt yfirleitt 
162;1;1;0;0.25;0.3333333;400000;2;Vas;Þú 
163;5;2;1;0.5;0.3333333;440000;3;Varmt vått vær og havstigning ;Heitt blautt veður og sjó hækkun 
164;4;1;1;0.0;0.3333333;150000;2;Varmt vær drivstoffmangel og arbeidsledighet Og sannsynligvis mat og medisin problemer Helsespørsmål generelt ;Heitt veður eldsneytisskortur og atvinnuleysi og líklega mat og læknisfræðileg vandamál Heilbrigðismál almennt 
165;4;2;1;0.75;0.6666667;540000;3;Varmere/våtere vær;Heitari / wetter veður 
166;3;1;1;0.5;0.3333333;720000;3;varmere våtere villere;Warmer Wetter Wilders 
167;4;2;0;0.5;0.6666667;620000;3;Varmere våtere og mer voldsomt vær;Warmer Wetter og meira ofbeldi veður 
168;4;1;1;0.5;0.3333333;1200000;2;Varmere våtere og mer ekstrem vær ;Warmer Wetter og meira Extreme Weather 
169;5;1;1;1.0;0.6666667;1200000;3;Varmere våtere klima (for oss) mere ekstremt vær ;Warmer Wetter Climate (fyrir okkur) meira Extreme Weather 
170;5;1;0;0.5;0.3333333;0;3;varmere vær---ah herlig;Hlýrri veður --- ah yndislegt 
171;5;1;0;0.25;0.3333333;0;3;varmere vær og regn;hlýrri veður og rigning 
172;5;1;0;0.25;0.3333333;600000;3;Varmere vær mere nedbør Norge vinner igjen;Warmer Veður Meira Úrkoma Noregur vinnur aftur 
173;4;1;0;0.25;0.6666667;1500000;3;Varmere vær Mer regn;Heitari vera meira rigning 
174;4;1;1;0.75;0.0;750000;3;varmere vær høyere vannstand mer ekstremvær mer innvandring;Hlýrri veður hærra vatnsborð meira öfgafullt veður meira innflytjenda 
175;5;1;0;0.5;0.3333333;300000;2;Varmere vær;Hlýrri veðri 
176;4;2;1;0.75;0.3333333;1000000;3;varmere vær;hlýrri veðri 
177;4;2;1;0.5;0.3333333;500000;3;Varmere vintre og våtere somre;Warmer Winters og Wetter Summers 
178;2;2;1;0.25;0.3333333;300000;3;Varmere vintre;Heitari vetrar 
179;4;2;1;0.75;0.6666667;300000;3;Varmere villere og våtere klima;Hotter Wilder og Wetter Climate 
180;1;2;1;0.5;0.3333333;0;3;Varmere temperaturer enn før ;Heitari hitastig en áður 
181;5;2;1;0.75;0.6666667;600000;2;Varmere somre kaldere vintre;Heitari sumar colder vetrar 
182;5;1;1;0.5;0.6666667;750000;3;Varmere på jorda;Heitari á jörðinni 
183;5;2;1;0.5;0.6666667;640000;3;Varmere og våtere og stormer;Hlýrri og wetter og stormar 
184;1;1;1;0.25;0.3333333;30000;2;Varmere og våtere klima;Hlýrri og wetter loftslag 
185;5;1;0;0.25;0.3333333;500000;2;Varmere og våtere;Hlýrri og wetter. 
186;3;2;1;0.75;0.6666667;570000;3;Varmere og mer ustabilt ekstrem vær;Hlýrri og óstöðugt öfgafullt veður 
187;1;1;0;0.25;0.6666667;0;2;Varmere og mer regn;Heitari og meira rigning 
188;4;2;1;0.75;0.6666667;454000;3;Varmere mer reg og ekstremvær;Hlýrri meira reg og öfgafullt veður 
189;3;1;1;0.5;0.3333333;470000;3;Varmere klima smelting av polis mere ekstremvær;Warmer Climate Bræðsla Polis meira Extreme Weather 
190;3;2;0;0.25;0.3333333;500000;2;Varmere klima smelting av is;Hlýrri loftslagsbræðsla af ís 
191;2;1;0;0.5;0.3333333;450000;2;Varmere klima på polene Is smelting;Hlýrri loftslag á Pólverja ísbræðslunni 
192;4;2;1;0.5;0.3333333;750000;3;Varmere klima om sommeren;Hlýrri loftslag í sumar 
193;6;2;1;0.5;0.3333333;225000;2;varmere klima mindre snø mer regn ;hlýrri loftslag minna snjór meira rigning 
194;3;2;0;0.5;0.3333333;310000;2;Varmere klima meir nedbør forurensing;Hitari Climate Meir Úrkoma Mengun 
195;3;1;1;0.75;0.3333333;700000;2;Varmere klima grunna for mykje utslepp av negativ forurensing;Warmer Climate Foundation fyrir mikla sársauka af neikvæðum mengun 
196;5;1;1;0.5;0.3333333;400000;2;varmere klima;hlýrri loftslag 
197;4;2;1;0.75;0.0;430000;3;Varmere gjennomsnittstemperaturer sterkere stormer jordras mindre forskjell mellom årstider i Norge smelting av polene mer regn slutt på kalde vintre og tørre somre flommer dødsfall pga uvær havnivået stiger Kun negative ting ;Hlýrri meðaltal hitastig sterkari stormar minniháttar munurinn á árstíðum í Noregi Melting Pólverja Meira rigning enda köldu vetrar og þurrt sumar Flóð dauðsföll vegna þess að stormur sjávar stig rís aðeins neikvæðar hluti 
198;1;1;1;0.25;0.3333333;0;2;Varmere (kan bli godt frys mæ ihjæl her oppi nord );Warmer (getur verið góður freezer mæ Ejøle hér norður) 
199;5;1;1;0.75;0.6666667;250000;3;Varmere - mer ekstremvær;Hotter - meira Extreme Weather 
200;5;1;0;0.75;0.6666667;420000;2;Varmere;Warmther. 
201;3;1;1;0.75;0.6666667;575000;3;Varmere;Warmther. 
202;4;1;1;0.5;0.3333333;650000;0;Varmere;Warmther. 
