;age;gender;humanmade;concern;efficacy;income;edu3;openanswer;translation
29;1;1;1;0.0;0.0;0;1;"Økning av ""Sealevels"" Mindre skog Stakkars søte isbjørner Dømmer menneskeheten i enden Kult me apokalypse da men :/";"Increasing the ""Sealevel"" Less forest Poor cute polar bear Judge humanity at the end me ​​apocalypse then though: /"
30;4;1;0;0.5;0.6666667;100000;2;Øket gjennomsnittstemperatur på jorda og spesielt i nordområder;average on Earth and especially in northern
31;1;2;1;0.25;0.3333333;40000;1;økende utslipp av klimagasser økende temperaturer og havnivå konsekvenser atmosfæren og ozonlaget;increase greenhouse gas increase and sea level atmosphere and ozone layer
32;3;1;1;1.0;0.3333333;1100000;3;Økende temperatur Skiftende vær Norsk olje;Growing temperature weather oil
33;2;1;1;0.5;0.6666667;370000;2;Økende temperatur;increase temperature
34;5;1;1;0.75;0.3333333;600000;3;Økende forurensning (meneskeskapt);pollution (meneskeskapt)
35;2;1;1;0.75;0.6666667;0;3;ødeleggelser;
36;5;1;1;0.5;0.3333333;0;3;Ødeleggelse;Destruction
37;5;2;1;1.0;0.6666667;0;3;Ødeleggelse;Destruction
38;1;2;1;0.25;0.3333333;80000;3;æsj;Yuck
39;6;1;1;0.75;0.6666667;300000;3;Ytterst vanskelig å få på plass internasjonale forpliktelser;Extremely difficult to put in place international
40;3;1;1;0.5;0.6666667;1100000;3;www 360 no;360 no
41;4;1;1;0.75;0.3333333;360000;3;We are too comfortable to worry about it;We be too comfortable to worry about it
42;4;1;1;1.0;0.6666667;400000;2;Vått vær;wet weather
43;4;2;1;0.75;0.3333333;510000;3;Våtere villere varmere;Wetter wilder warmer
44;5;1;1;0.75;0.3333333;500000;3;Våtere og villere;Wetter and wilder
45;5;2;1;0.75;0.3333333;3200000;2;Våtere og varmere;Wetter and warmer
46;2;1;1;1.0;0.3333333;800000;3;Våre barnebarn komme til å fordømme vår generasjon for at vi ikke gjorde det som var nødvendig;Our come to condemn our generation that we do not do what be necessary
47;6;1;0;0.25;0.3333333;450000;3;Vår tids religion der helvete er erstattet med klimakatastrofe;Our time religion where hell be replace by climate disaster
48;1;1;1;1.0;0.3333333;340731;2;Växthuseffekten;greenhouse effect
49;2;1;1;1.0;0.3333333;400000;1;Værskifte;
50;2;1;1;0.75;0.3333333;510000;3;Værproblematikk: høyere temperatur større svingninger issmelting/høyere vannstand vind og nedbør;Værproblematikk: higher temperature greater ice melt / higher water level wind and rainfall
51;4;2;1;0.75;0.3333333;400000;3;Værkatastrofer;
52;4;2;1;1.0;0.3333333;462000;3;Værkatastrofer;
53;5;2;1;0.5;0.3333333;370000;2;Værforholdene;weather condition
54;2;2;0;0.5;0.6666667;270000;2;værforholdene;weather condition
55;3;2;0;0.25;0.3333333;425000;2;Værforhold;weather condition
56;6;2;0;0.25;0.0;180000;2;Værforhold;weather condition
57;5;1;1;0.75;0.6666667;570000;2;Værforandringer og hyppigere ekstremforhold;Weather change and more frequent extreme condition
58;4;2;1;0.5;0.6666667;400000;3;Værforandringer mye nedbør og vind;Weather change much rain and wind
59;5;2;1;1.0;0.3333333;548000;1;Værforandringer Mer ekstremvær;Weather change More extreme
60;4;1;1;0.75;0.3333333;520000;3;Værforandringer Matkriser Vannkrise Ozonlaget;Weather change food crisis Water Crisis ozone layer
61;2;2;1;0.75;0.3333333;120000;2;Værforandringer forrurenssing;Weather change
62;3;2;0;0.5;0.6666667;430000;3;værforandringer;weather change
63;4;2;1;0.25;0.3333333;350000;2;værforandringer;weather change
64;5;1;1;0.5;0.0;240000;2;værforandringer;weather change
65;4;2;1;0.5;0.3333333;410000;3;værforandringer;weather change
66;5;2;1;0.75;0.6666667;420000;3;værforandringer;weather change
67;3;1;0;0.25;0.0;650000;2;Værforandringer;Weather change
68;4;2;1;0.5;0.3333333;460;2;Værforandringer;Weather change
69;5;2;1;0.25;0.0;400;2;Værforandringer;Weather change
70;3;1;0;0.75;0.6666667;0;0;Været og når det vil snø;Weather and when it will snow
71;2;1;1;0.75;0.3333333;324000;1;Været har forendret seg;The weather have change into
72;2;2;1;0.75;0.3333333;308000;2;været forandrer seg;weather change
73;6;2;1;0.75;0.0;271047;2;Været er forandret Snøen er så møkkete Regnet er møkkete;The weather be change snow be so muddy rain be dirty
74;5;1;0;0.5;0.6666667;260000;3;været;be
75;4;2;1;0.5;0.3333333;280000;1;været;be
76;3;2;0;0.5;0.3333333;500000;2;Været;be
77;3;2;0;0.5;0.0;351000;1;Været;be
78;5;2;1;0.5;0.6666667;350000;2;Været;be
79;3;2;1;0.5;0.3333333;100000;3;været;be
80;3;2;1;0.5;0.6666667;250000;2;været;be
81;1;1;1;0.25;0.6666667;40000;2;Været;be
82;4;2;1;0.75;0.3333333;452000;0;Været;be
83;1;2;0;0.25;0.3333333;100000;2;Værendringer;be change
84;1;2;1;0.75;0.3333333;0;3;Værendring;be
85;2;1;1;0.75;0.3333333;490000;2;Vær utslipp miljø;Please environment
86;3;1;1;0.75;0.3333333;490000;3;Vær skifte;Weather change
87;3;2;1;0.75;0.3333333;650000;3;vær regn co2;weather rain co2
88;4;1;1;0.75;0.3333333;350000;2;Vær- og tempraturforandringer;Weather and change in temperature
89;6;1;1;1.0;0.6666667;450000;3;Vær og temperaturendriger;Be and
90;3;2;1;0.75;0.3333333;0;3;vær og issmelting;weather and melt ice
91;2;2;1;0.75;0.3333333;60000;3;vær forandrnger global oppvarming ozon laget forurensning av lufta;weather global warm ozone pollution of the air
92;3;2;1;1.0;0.6666667;430000;3;Vær flom snøsmelting temperatur;Be flood temperature
93;3;2;1;1.0;0.3333333;740000;3;Vær (storm ekstra kaldt ekstra varmt polsmelting) og ozonlag;Weather (storm extra cold extra hot pole melting) and the Ozone Layer
94;4;1;0;0.5;0.6666667;500000;1;Vær;Weather
95;5;2;1;0.75;0.3333333;570000;3;vær;weather
96;3;2;1;0.75;0.3333333;470000;3;Vær;Weather
97;5;1;1;0.75;0.6666667;370000;2;Vær;Weather
98;5;1;1;0.75;0.3333333;540000;3;vær;weather
99;4;1;1;0.5;0.3333333;500000;3;Vær;Weather
100;3;2;0;0.25;0.3333333;530000;3;vær;weather
101;4;1;0;0.0;0.0;530000;2;vulkanutbrudd;volcanic
102;7;1;1;0.75;0.0;400000;3;Voldsommere vær havet stiger;More violent weather rise
103;4;2;1;0.5;0.6666667;550000;3;Voldsomme uvær issmelting havnivået stiger fortvilte mennesker ødeleggelser økende forskjeller;Violent storm ice melt sea level rise despair people increase
104;5;2;1;0.5;0.6666667;290000;3;vintrene blir mildere og våtere Mer ekstremvær;winter be milder and wetter More extreme
105;3;2;1;0.75;0.6666667;748000;3;Vinterstormer;winter storm
106;6;1;0;0.25;0.3333333;300000;1;vinteren er like kald;winter be as cold
107;2;2;1;0.75;0.6666667;390000;3;Vinteren blir varm og snø og kulde forsvinner= negativt;The winter will be warm and the snow and cold disappear = negative
108;6;1;1;1.0;0.6666667;40000;1;Vindstyrke;Wind force
109;1;2;0;0.5;0.3333333;0;2;vindmøller vær bil buss skole plan;wind turbines be car bus school level
110;6;1;1;0.75;0.6666667;800000;3;vind vann luft;air water air
111;6;1;1;0.75;0.6666667;350000;1;vind regn katastrofer;wind rain disaster
112;5;2;1;0.75;0.6666667;700000;3;Vind og regn Negativt skremmende;Wind and rain Negative scary
113;3;1;0;0.5;0.3333333;630000;3;Vind og nedbør;Wind and rain
114;3;2;1;0.25;0.6666667;150000;1;vind og flom;wind and flood
115;5;1;1;0.5;0.3333333;190000;1;vind nedbør;wind precipitation
116;4;1;1;0.5;0.6666667;0;2;Vind;Find
117;4;2;0;0.5;0.3333333;477000;3;vilt vått;wild wet
118;4;2;1;0.75;0.6666667;150000;3;Villere våtere og varmere!;Wilder wetter and warmer!
119;6;2;0;0.75;0.3333333;350000;3;villere varmere våtere;wilder warmer wetter
120;2;2;1;1.0;0.3333333;450000;1;villare våtare vær tap av diverse dyrearter td isbjørner menneskeskapt og det må gjørest noke FØR det er forseint vi har ikkje god tid der kan du sei;weather the loss of various animal species bear and it must BEFORE it be we have not time where you can
121;6;2;1;0.5;0.3333333;162000;1;vil det medføre et bedre vær - eller et verre vær?;it will result in a better weather - or a worse weather?
122;1;2;0;0.5;0.3333333;100000;1;Viktig å ta vare på klimaet;Important to care for the climate
123;1;1;0;0.5;0.3333333;100000;2;Viktig tema som bør tas på alvor;Important that should be take seriously
124;1;2;1;1.0;0.6666667;120000;3;"Viktig (første ord jeg tenkte på) (Deretter: ) De fleste enes idag om at klimaendringene er menneskeskapte men de færreste tenker at ens egne handlinger eller mer generelt ens egen livstil påvirker klimaet ""Ja en burde nok sikkert det "" er standardssvar jeg selv opplever å få når jeg prøver å påvirke mine nærmeste til å ta klimavennlige valg men jeg opplever skjeldent at noe gjøres ";"Important (first word I think of) (Then:) Most the day that climate change be man-made but very few think that one's own action or, more generally, one's own affect the climate ""yes one should probably certainly there"" be the standard answer I even experience get when I try to influence my to bring climate-friendly but I experience rarely that something be do"
125;5;1;1;0.75;0.6666667;900000;2;Viktig;Important
126;5;2;0;0.5;0.6666667;245000;1;Vi ødelegger vår klode - ozonlaget - søppel;We be destroy our planet - ozone layer - garbage
127;4;1;1;0.5;0.6666667;430000;2;Vi vil jobb for klima men lever og reiser som før Pengene styrer;We will work for the climate but live and travel as before Money control
128;6;1;1;0.75;0.3333333;230000;2;Vi ser resultatet av klimaendringer daglig nå Mer naturkatastrofer;We see the result of climate change daily now more natural
129;7;1;1;0.75;0.6666667;500000;2;Vi må være flinkere til å spare alt: lys bilkjjøring matvaner spise mere nærprodusert mat kutte ut mye import spise norske poteter og epler osv vi har en utrolig frotsing i matveien Se de fulle hadlekurvene folk propper med usund (ofte) mat Dra til fjells istedenfor syden!;We must be better at save everything: light eat habit eat more sell locally-produced food cut out much import eat potatoes and apples, etc. we have an incredible eater See the full people clot with unhealthy (often) food Head to the instead !
130;2;1;1;0.75;0.6666667;420000;3;Vi må tilpasse oss endringer som skjer på jorda Vi vet at disse endringene skjer og vi bør jobbe med løsninger ikke diskutere hvorvidt disse er menneskeskapte eller ikke Bruk av fossile brensler er en begrenset ressurs og vi bør jobbe for å gjøre oss mye mindre avhengig av dette på sikt Bærekraftig ressursbruk deriblant i energiproduksjon er en av de viktigste løsningene vi bør jobbe med Teknologi og utvikling samt en endring bort fra det materialistiske livssynet på verden er veien å gå;We must adapt to change take place on Earth, we know that these change be happen and we should work on not discuss whether these be man-made or not use of fossil fuel be a finite resource and we should work to make us much less dependent on this in the long term sustainable use of include energy production be one of the main we should work on technology and development, and a change away from the materialistic of the world be the way to go
131;2;1;1;0.5;0.3333333;14000;2;Vi må tenke av det men vi må ikke gjøre noe avgifter for dette fordi det er kneyttet med hele verden Det gjøre ingenting mot klimaendringer hvis bare norge engasjert seg;We need to think of it but we must not do any fee for this because it be with It do nothing against climate change if only engage
132;2;1;1;1.0;0.6666667;13500;2;Vi må stå sammen til å sikre neste generasjon når det gjelder om klima;We must join together to ensure the next generation in term of climate
133;5;2;1;0.75;0.6666667;350000;2;Vi må redusere utslipp og fornye bilpark til mer miljøvennlig;We must reduce and renew vehicle fleet to more environmentally friendly
134;7;2;1;1.0;0.3333333;200000;3;Vi må gjøre noe med det! En vet at en må begynne med seg selv Hver enkelt av oss må begynne å leve mer miljøvennlig en føler at en har en lang vei å gå!;We must do something about it! One know that one must begin with oneself Each of us must begin to live a more environmentally friendly one feel that one have a long way to go!
135;5;1;1;1.0;0.6666667;400000;3;Vi må gjøre noe for å få ned utslippene;We must do something to bring down
136;1;2;1;0.75;0.3333333;20000;1;Vi må gjøre noe;We must do something
137;6;1;1;1.0;0.6666667;310000;2;Vi må gjøre mere på områder som handler om fornybar energi samt stoppe nedhugging og utnyttelse av regnskogene De som bedriver miljø-kriminalitet må straffes mye hardere;We must do more in such as renewable energy and stop the cut down and exploitation of Those who commit environmental crime must be punish much harder
138;3;2;1;0.75;0.6666667;300000;2;Vi må gjøre mer for å redde jorda!;We must do more to save the earth!
139;2;1;1;0.75;0.3333333;560000;2;vi må få ut fingern;we have to get out
140;3;1;1;0.5;0.6666667;320000;3;"Vi må få alle de store landene til å skrive under på ""Kyoto avtalen "" og binde seg til dette Får så og legge press på de mindre landene Hjelper ikke at vi skal gå langt foran på alt ";"We need to get all major to sign the ""Kyoto Protocol"" and bind to this Will so and put pressure on the smaller do not help us to go far ahead of everything"
141;2;2;1;0.5;0.3333333;0;1;Vi må forurense mindre og hjelpe de landene som er mest utsatt for dette;We must pollute less and help the that be most susceptible to this
142;3;1;1;1.0;0.0;550000;3;Vi kan gjøre mye mer enn det vi gjør nå;We can do much more than we do now
143;4;1;1;0.75;0.6666667;360000;3;Vi har dårlig tid;We're in a hurry
144;5;1;0;0.5;0.3333333;390000;2;Vi har alltid hatt store eller mindre endringer;We have always have great or minor change
145;5;1;1;0.75;0.3333333;660000;3;Vi forbruker fosilt brensel uhyggelig fort;We consume fuel grim fort
146;2;1;0;0.25;0.6666667;436000;3;Vi finner snart teknologiske løsninger på alle disse problemene;We soon find technological to all these
147;1;2;1;0.5;0.6666667;0;2;vi burde kanskje gjøre noe med klimaendringene;we should maybe do something about climate change
148;1;2;1;0.75;0.3333333;66000;2;Vi burde begynne å tenke på over at mye av det vi gjør er skylden til klimaendringer som tyfon tsunami osv;We should start think about that much of what we do be blame to climate change as typhoon tsunami etc.
149;1;2;0;0.75;0.0;150000;1;vet ikke har ikke satt meg inn i verden vår sånn enda;do not know do not put me into the world our way yet
150;5;1;1;1.0;0.6666667;700000;3;Verdenssamfunnet bør se sin bsøkelsestid;The international community should see their
151;4;2;1;1.0;0.0;378350;3;Verdens undergang;The end of the world
152;4;1;0;0.25;0.3333333;579000;0;Verdens største svindel Man kan påvirke miljøet men ikke klimaet;World's fraud Man can affect the environment but not the climate
153;6;1;1;0.75;0.6666667;360000;2;Verdens gang gjennom tidene;World time through the age
154;4;2;1;1.0;0.6666667;250000;3;Verden kommer til å gå under dersom vi ikke skjønner at vi må ta dette mer på alvor Pol-isen smelter i rekordfart små og store naturkatastrofer er i ferd med å øke i omfang Mange u- land er i ferd med ekspandere økonomisk og kommer til å forurense mer i fremtiden Alle må skjerpe seg ikke minst USA og Europa;The world be go to go under if we do not realize that we need to take this more seriously Pol-ice melt at record small and large natural be about to increase in scope Many develop be in the process of expand economic and go to pollute more in the future Everyone need to sharpen up, not least the United and
155;3;1;1;0.25;0.3333333;900000;2;verden i endring og vi må tilpasse oss;change world and we must adapt to
156;6;1;0;0.0;0.0;520000;3;"Verden har alltid opplevd klimaendringer også lenge før mennesket var istand til å påvirke Trenden videre er vel at verden går henimot en ny istid Kanskje såkalte menneskeskapte ""klimaendringer"" kan være med på å utsette dette skremmende senario ";"The world have always experience climate change too long before be able to influence the trend further, well the world go toward a new ice age Perhaps so-called man-made ""climate change"" may be involve in expose this frighten scenario"
157;4;1;1;0.75;1.0;550000;2;Verden blir dårligere;The world be get worse
158;2;1;0;1.0;0.6666667;14000;1;Verden;World
159;1;2;1;0.5;0.3333333;100000;2;veldig kipt;very
160;3;1;1;1.0;0.6666667;0;2;veldig forstyrrende;very disturb
161;3;1;1;1.0;0.6666667;140;2;veldig beskumret Veldig dårlig på alle;very Very bad at all
162;1;1;0;0.25;0.3333333;400000;2;Vas;you
163;5;2;1;0.5;0.3333333;440000;3;Varmt vått vær og havstigning;Warm wet weather and sea level rise
164;4;1;1;0.0;0.3333333;150000;2;Varmt vær drivstoffmangel og arbeidsledighet Og sannsynligvis mat og medisin problemer Helsespørsmål generelt;Warm weather fuel and unemployment And probably food and medicine issue Health issue in general
165;4;2;1;0.75;0.6666667;540000;3;Varmere/våtere vær;Warmer / wetter weather
166;3;1;1;0.5;0.3333333;720000;3;varmere våtere villere;warmer wetter wilder
167;4;2;0;0.5;0.6666667;620000;3;Varmere våtere og mer voldsomt vær;Warmer wetter and more violent weather
168;4;1;1;0.5;0.3333333;1200000;2;Varmere våtere og mer ekstrem vær;Warmer wetter and more extreme weather
169;5;1;1;1.0;0.6666667;1200000;3;Varmere våtere klima (for oss) mere ekstremt vær;Warmer wetter climate (for us) more extreme weather
170;5;1;0;0.5;0.3333333;0;3;varmere vær---ah herlig;warmer weather --- ah delightful
171;5;1;0;0.25;0.3333333;0;3;varmere vær og regn;warmer weather and rain
172;5;1;0;0.25;0.3333333;600000;3;Varmere vær mere nedbør Norge vinner igjen;Warmer weather more rainfall win again
173;4;1;0;0.25;0.6666667;1500000;3;Varmere vær Mer regn;Warmer weather More rain
174;4;1;1;0.75;0.0;750000;3;varmere vær høyere vannstand mer ekstremvær mer innvandring;warmer weather higher water level more extreme more immigration
175;5;1;0;0.5;0.3333333;300000;2;Varmere vær;warmer weather
176;4;2;1;0.75;0.3333333;1000000;3;varmere vær;warmer weather
177;4;2;1;0.5;0.3333333;500000;3;Varmere vintre og våtere somre;Warmer winter and wetter summer
178;2;2;1;0.25;0.3333333;300000;3;Varmere vintre;warmer winter
179;4;2;1;0.75;0.6666667;300000;3;Varmere villere og våtere klima;Warmer wilder and wetter climate
180;1;2;1;0.5;0.3333333;0;3;Varmere temperaturer enn før;Warmer than before
181;5;2;1;0.75;0.6666667;600000;2;Varmere somre kaldere vintre;Warmer summer colder winter
182;5;1;1;0.5;0.6666667;750000;3;Varmere på jorda;on Earth
183;5;2;1;0.5;0.6666667;640000;3;Varmere og våtere og stormer;Warmer and wetter and storm
184;1;1;1;0.25;0.3333333;30000;2;Varmere og våtere klima;Warmer and wetter climate
185;5;1;0;0.25;0.3333333;500000;2;Varmere og våtere;Warmer and wetter
186;3;2;1;0.75;0.6666667;570000;3;Varmere og mer ustabilt ekstrem vær;Warmer and more unstable extreme weather
187;1;1;0;0.25;0.6666667;0;2;Varmere og mer regn;Warmer and more rain
188;4;2;1;0.75;0.6666667;454000;3;Varmere mer reg og ekstremvær;Warmer more reg and extreme weather
189;3;1;1;0.5;0.3333333;470000;3;Varmere klima smelting av polis mere ekstremvær;Warmer climate melt polis more extreme
190;3;2;0;0.25;0.3333333;500000;2;Varmere klima smelting av is;Warmer climate melt of ice
191;2;1;0;0.5;0.3333333;450000;2;Varmere klima på polene Is smelting;A warmer climate at the pole Ice melt
192;4;2;1;0.5;0.3333333;750000;3;Varmere klima om sommeren;Warmer climate in summer
193;6;2;1;0.5;0.3333333;225000;2;varmere klima mindre snø mer regn;warmer less snow more rain
194;3;2;0;0.5;0.3333333;310000;2;Varmere klima meir nedbør forurensing;Warmer climate more precipitation pollution
195;3;1;1;0.75;0.3333333;700000;2;Varmere klima grunna for mykje utslepp av negativ forurensing;Warmer climate shallow for Much discharge of negative pollution
196;5;1;1;0.5;0.3333333;400000;2;varmere klima;warmer climate
197;4;2;1;0.75;0.0;430000;3;Varmere gjennomsnittstemperaturer sterkere stormer jordras mindre forskjell mellom årstider i Norge smelting av polene mer regn slutt på kalde vintre og tørre somre flommer dødsfall pga uvær havnivået stiger Kun negative ting;Warmer average storm less difference between the season in melt of the pole more rain end the cold winter and dry summer flood due to storm sea level rise only negative thing
198;1;1;1;0.25;0.3333333;0;2;Varmere (kan bli godt frys mæ ihjæl her oppi nord );(can be good freezer up here in the north)
199;5;1;1;0.75;0.6666667;250000;3;Varmere - mer ekstremvær;#���?
200;5;1;0;0.75;0.6666667;420000;2;Varmere;
201;3;1;1;0.75;0.6666667;575000;3;Varmere;
202;4;1;1;0.5;0.3333333;650000;0;Varmere;
203;4;1;0;0.25;0.0;650000;2;varmere;
204;5;1;0;0.5;0.3333333;450000;2;Varmere;
205;3;2;1;0.75;0.3333333;0;2;Varmere;
206;3;1;1;0.5;0.6666667;450000;2;Varmere;
207;4;2;1;0.75;1.0;180000;2;varmere;
208;3;2;1;0.75;0.6666667;450000;3;varmere;
209;2;2;0;0.75;0.3333333;270000;1;varmeklima;warm climate
210;2;1;1;0.75;0.3333333;450000;2;Varme vann oversvömmelser;Warm water flood
211;5;2;1;0.75;0.3333333;800000;3;varme uvær lite mat til verdens befolkning;heat storm little food to the world's population
212;6;2;1;1.0;0.3333333;350000;1;Varme sommere mye nedbør;Hot summer heavy precipitation
213;3;2;1;0.5;0.6666667;430000;3;Varme snøsmelting;heat
214;1;2;1;0.5;0.3333333;0;0;Varme rein;heat reindeer
215;2;1;1;1.0;0.6666667;168000;1;varme;heat
216;1;2;1;1.0;0.6666667;100000;3;Varme;Heat
217;4;2;1;0.5;0.3333333;660000;3;varme;heat
218;6;1;0;0.5;0.0;370000;1;varmare-kortare vintrar mer uvæer storm oversvømmelse etc;heater-less winter more storm etc.
219;3;2;1;0.5;0.3333333;0;3;Varmare ver Meir storm/regn og fleire naturkatastrofer;Heater storm / rain and several natural
220;5;2;1;0.75;0.6666667;0;1;Varmare;warmer
221;3;1;1;0.75;0.3333333;330000;3;Varige forandringer av temperatur og nedbørsmengde utover det som er normalt;Lasting change of the temperature and rainfall beyond that normally
222;2;2;0;0.5;0.3333333;450000;3;Vanskelig å si hva klimaendringene kommer av!;Hard to say what climate change be go on!
223;6;1;1;0.75;0.3333333;350000;3;Vanskelig å reversere men mulig tross meget sterke økonomiske krefter imot;Difficult to reverse but possible despite very strong economic force oppose
224;5;1;1;0.75;0.3333333;700000;3;Vanskelig å forholde seg til viktig med god saksopplysninger;Difficult to deal with important good case information
225;3;2;1;0.75;0.6666667;0;2;Vanskelig ord å forstå;Difficult word to understand
226;4;1;1;0.75;0.3333333;200000;3;Vanskelig;Difficult
227;2;2;0;0.5;0.3333333;0;2;vanskelig;difficult
228;2;1;0;0.25;0.0;480000;3;Vannstanden stiger;The water level rise
229;4;1;0;0.25;0.3333333;500000;3;Vannstand;Water level
230;2;1;1;0.75;0.0;500000;2;vannstand;water level
231;3;2;1;0.75;0.6666667;150000;2;vannnivået stiger;water level rise
232;2;1;1;0.75;0.6666667;468000;3;Vannmangel;water Shortage
233;4;2;0;0.25;0.3333333;1200000;3;Vannet stiger mye vann og ødleggelser somfølge av vann;The water be rise much water and ruin of water
234;1;1;0;0.25;0.3333333;400000;2;Vann Økt ekstremvær og endringer i ulike geografiske klima Jorden har alltid vært i endring men vi må selv vise respekt for naturkreftene med å begrense utslipp og holde naturen renest mulig;Water extreme weather and change in different geographical climate earth have always be change but we must show respect for the force of nature to reduce and keep nature clean as possible
235;4;1;0;0.5;0.3333333;600000;2;vann- vind- regn;water wind rain
236;4;2;1;0.75;0.6666667;550000;3;Vann orkan katastrofe død;Water hurricane disaster death
237;2;2;0;0.25;0.0;460000;3;vann co2;water co2
238;2;2;1;0.75;0.3333333;300000;3;Vann (flom øket havnivå);Water (flood increase sea level)
239;3;1;0;0.5;0.3333333;400000;2;Vann;Water
240;5;1;1;0.75;0.3333333;550000;3;Uvær temperatur endring naturkatastrofer;Severe weather temperature variation natural
241;5;2;1;1.0;0.3333333;600000;3;Uvær storm ukontrollert temperaturøkning;Severe weather storm uncontrolled temperature rise
242;3;2;1;0.75;0.6666667;350000;3;uvær og ødeleggelser;storm and destruction
243;5;2;1;0.75;0.3333333;480000;2;uvær naturkatastrofer;storm natural
244;4;2;1;0.5;0.3333333;275000;1;Uvær milde vintre issmelting;Severe weather mild winter ice melt
245;4;2;1;0.5;0.6666667;450000;3;Uvær høyere temperatur redd!! noe bør gjøres alle kan gjøre noe for å redusere klimaendringene;Severe weather higher temperature afraid !! something should be do all you can do something to mitigate climate change
246;3;1;1;0.5;0.3333333;800000;2;Uvær flom katastrofer tidsnød forurensing Kina;flood lack of time pollution China
247;4;2;1;0.75;0.3333333;454000;3;uvær flom havet stiger;storm flood the sea rise
248;5;2;1;0.75;0.3333333;440000;3;Uvær flom;storm flood
249;5;1;1;0.5;0.3333333;800000;2;Uvær;Severe weather
250;4;2;0;0.75;0.3333333;450000;3;Uvær;Severe weather
251;6;1;0;0.5;0.3333333;250000;2;Uvær;Severe weather
252;4;1;1;0.25;0.3333333;650000;3;Uvær;Severe weather
253;2;1;1;0.75;0.3333333;420000;2;Uvær;Severe weather
254;5;2;1;0.5;0.3333333;600000;2;Uvær;Severe weather
255;3;2;1;0.75;0.3333333;510000;3;Uvær;Severe weather
256;5;2;1;1.0;0.6666667;600000;3;Uvær;Severe weather
257;6;1;0;0.5;0.3333333;480000;3;Uvær;Severe weather
258;3;2;1;0.75;0.3333333;0;3;Uvær;Severe weather
259;4;2;1;0.75;0.3333333;200000;3;Uvær;Severe weather
260;3;1;1;1.0;0.3333333;675000;3;Uvær;Severe weather
