"X"	"age"	"gender"	"humanmade"	"concern"	"efficacy"	"income"	"edu3"	"translation"	"univdummy"	"theta1"	"theta2"	"theta3"	"theta4"
"67"	66	5	2	1	0.75	0.6666667	420000	3	"Weather changes "	1	0.384569692282499	0.216007662631419	0.171196749283336	0.228225895802747
"68"	67	3	1	0	0.25	0	650000	2	"Weather changes "	0	0.227730919038349	0.471126027837038	0.136059698109256	0.165083355015358
"69"	68	4	2	1	0.5	0.3333333	460	2	"Weather changes "	0	0.346030914874976	0.27030744188838	0.147908640753459	0.235753002483185
"70"	69	5	2	1	0.25	0	400	2	"Weather changes "	0	0.379841802530115	0.252623489568023	0.133462588502794	0.234072119399068
"71"	70	3	1	0	0.75	0.6666667	0	0	"The weather and when it will snow "	0	0.206679360531611	0.363519745590866	0.109533491558616	0.320267402318906
"72"	71	2	1	1	0.75	0.3333333	324000	1	"The weather has changed "	0	0.241836588974586	0.393671251692363	0.158219984064931	0.206272175268119
"73"	72	2	2	1	0.75	0.3333333	308000	2	"The weather changes "	0	0.283521595084191	0.320320700492302	0.168219086750994	0.227938617672513
"74"	73	6	2	1	0.75	0	271047	2	"The weather has changed the snow is so filthy rain is filthy "	0	0.344223246055537	0.115632253671221	0.0940612681970089	0.446083232076233
"86"	85	2	1	1	0.75	0.3333333	490000	2	"Be discharge environment "	0	0.0844748172460351	0.657481192891633	0.165540613544716	0.0925033763176163
"88"	87	3	2	1	0.75	0.3333333	650000	3	"Be rain CO2 "	1	0.225411039362185	0.151156727739446	0.13872055721453	0.484711675683839
"89"	88	4	1	1	0.75	0.3333333	350000	2	"Weather and tempratural changes "	0	0.302413448311399	0.32240506608389	0.1742611299974	0.200920355607311
"90"	89	6	1	1	1	0.6666667	450000	3	"Be and temperature ends "	1	0.324452449982097	0.215130194911278	0.181241061900746	0.27917629320588
"91"	90	3	2	1	0.75	0.3333333	0	3	"Weather and ice melting "	1	0.276206097848985	0.089563791706886	0.106606310102341	0.527623800341788
"92"	91	2	2	1	0.75	0.3333333	60000	3	"weather forand global warming ozone made pollution of the air "	1	0.328676583153524	0.213041467466497	0.235740218617964	0.222541730762015
"93"	92	3	2	1	1	0.6666667	430000	3	"Be flood snow melting temperature "	1	0.240725287135854	0.0685397976039108	0.0936058412760584	0.597129073984177
"94"	93	3	2	1	1	0.3333333	740000	3	"Weather (storm extra cold extra hot pole melting) and ozone layers "	1	0.233653652692706	0.0426749394857244	0.066922959261793	0.656748448559777
"95"	94	4	1	0	0.5	0.6666667	500000	1	"Weather "	0	0.275081391409806	0.355894885617402	0.121243098385102	0.247780624587689
"96"	95	5	2	1	0.75	0.3333333	570000	3	"weather "	1	0.389057781950291	0.167101944112952	0.162757365822237	0.28108290811452
"97"	96	3	2	1	0.75	0.3333333	470000	3	"Weather "	1	0.34270214612466	0.193718465338533	0.178197852399758	0.285381536137049
"98"	97	5	1	1	0.75	0.6666667	370000	2	"Weather "	0	0.356615100915181	0.21145292263541	0.161364649642007	0.270567326807403
"99"	98	5	1	1	0.75	0.3333333	540000	3	"weather "	1	0.364219317769253	0.201928192577197	0.18768467335466	0.246167816298891
"100"	99	4	1	1	0.5	0.3333333	500000	3	"Weather "	1	0.351303956134922	0.21184675547065	0.183780261016786	0.253069027377642
"101"	100	3	2	0	0.25	0.3333333	530000	3	"weather "	1	0.308758571219644	0.290314440033311	0.146194684430836	0.254732304316209
"102"	101	4	1	0	0	0	530000	2	"Volcanic eruptions "	0	0.058870147567213	0.801346436441838	0.0893592561171643	0.0504241598737843
"103"	102	7	1	1	0.75	0	400000	3	"Violent be sea rising "	1	0.329380220160159	0.0850542449642024	0.104314949810323	0.481250585065316
"104"	103	4	2	1	0.5	0.6666667	550000	3	"Violent storm ice melting sea level rises desperate people destruction increasing differences "	1	0.371941822414122	0.0967301429595878	0.0861208850585154	0.445207149567775
"105"	104	5	2	1	0.5	0.6666667	290000	3	"Winters become milder and wetter more extreme weather "	1	0.306277168833678	0.0500512244819258	0.0694703272485325	0.574201279435863
"106"	105	3	2	1	0.75	0.6666667	748000	3	"Winter storms "	1	0.313067459927941	0.117457343273388	0.132405902332131	0.437069294466539
"107"	106	6	1	0	0.25	0.3333333	300000	1	"Winter is just as cold "	0	0.166740347074694	0.342338320598063	0.0813366037143797	0.409584728612864
"108"	107	2	2	1	0.75	0.6666667	390000	3	"Winter gets hot and snow and cold disappears = negative "	1	0.126091493021136	0.0546914951357428	0.0626750110037494	0.756542000839372
"109"	108	6	1	1	1	0.6666667	40000	1	"Winds "	0	0.237241616140013	0.172790233290906	0.110880688948043	0.479087461621037
"110"	109	1	2	0	0.5	0.3333333	0	2	"Windmills Be Car Bus School Plan "	0	0.0622099986080534	0.747558739676931	0.110727213460577	0.0795040482544383
"111"	110	6	1	1	0.75	0.6666667	800000	3	"Wind water air "	1	0.313328268570273	0.083296949221166	0.107072175325873	0.496302606882688
"112"	111	6	1	1	0.75	0.6666667	350000	1	"wind rain disasters "	0	0.21756014603954	0.16753740922443	0.133414317999345	0.481488126736685
"113"	112	5	2	1	0.75	0.6666667	700000	3	"Wind and rain negatively frightening "	1	0.174035593996382	0.254167276086887	0.130705422185697	0.441091707731034
"114"	113	3	1	0	0.5	0.3333333	630000	3	"Wind and precipitation "	1	0.177162593191685	0.179563352685388	0.108136537340935	0.535137516781993
"115"	114	3	2	1	0.25	0.6666667	150000	1	"Wind and flood "	0	0.185407201602377	0.10441509205734	0.0641398574385127	0.64603784890177
"116"	115	5	1	1	0.5	0.3333333	190000	1	"Wind rainfall "	0	0.204286172404833	0.120095531540425	0.0764003595585847	0.599217936496158
"117"	116	4	1	1	0.5	0.6666667	0	2	"Find "	0	0.116706688955632	0.610477144856576	0.161912215309306	0.110903950878487
"118"	117	4	2	0	0.5	0.3333333	477000	3	"wild wet "	1	0.21623886380906	0.226569710158717	0.120295343781348	0.436896082250874
"119"	118	4	2	1	0.75	0.6666667	150000	3	"Villers wetter and warmer! "	1	0.21113636847524	0.087276830967786	0.0978921571388976	0.603694643418076
"120"	119	6	2	0	0.75	0.3333333	350000	3	"wilders warmer wetter "	1	0.194327286771248	0.0971628260509451	0.0725480053889156	0.635961881788891
"121"	120	2	2	1	1	0.3333333	450000	1	"Villare wetare weather loss of various animal species TD polar bears man-made and it must do notice before it is forseint We do not have good time there can be saithe "	0	0.121213613722108	0.438373339258499	0.096959489454974	0.34345355756442
"122"	121	6	2	1	0.5	0.3333333	162000	1	"Will it incur a better weather - or a worse weather? "	0	0.305180038533389	0.370305006621514	0.173589631918159	0.150925322926937
"123"	122	1	2	0	0.5	0.3333333	100000	1	"Important to take care of the climate "	0	0.0304582838486906	0.865177928831189	0.0655152119414264	0.0388485753786939
"124"	123	1	1	0	0.5	0.3333333	100000	2	"Important topic that should be taken seriously "	0	0.0305367933224535	0.850130549653959	0.0858190222907651	0.0335136347328229
"125"	124	1	2	1	1	0.6666667	120000	3	"Important (first word I was thinking of) (then :) Most agree today that climate change is man-made but fewest thinking that one's own actions or more generally one's own lifestyle affects the climate \"Yes one should probably do it\" is standard to get when I try to influence my closest to take climate-friendly choices but I am experiencing badness that something is done "	1	0.0254559963615393	0.886315596606833	0.0697076546148146	0.018520752416813
"126"	125	5	1	1	0.75	0.6666667	900000	2	"Important "	0	0.123708296558292	0.597614232443248	0.169137636511201	0.109539834487259
"127"	126	5	2	0	0.5	0.6666667	245000	1	"We destroy our globe - the ozone layer - garbage "	0	0.146121390092582	0.416313114577793	0.0843885149255854	0.35317698040404
"128"	127	4	1	1	0.5	0.6666667	430000	2	"We will work for climate but live and travel as before the money boards "	0	0.100847511219301	0.56582300825608	0.256443593043363	0.0768858874812562
"129"	128	6	1	1	0.75	0.3333333	230000	2	"We see the result of climate change daily now more natural disasters "	0	0.0964977802259863	0.590404671538742	0.2537442796164	0.0593532686188714
"130"	129	7	1	1	0.75	0.6666667	500000	2	"We must be better at saving everything: light car shooting eating habits eating more near-produced food cut out lots of import eating Norwegian potatoes and apples etc We have an incredible fragrant in the food, see the fullest hadture baskets people plug with usd (often) food go to the mountains instead of the south ! "	0	0.0983520254466688	0.590308800250239	0.236914266032125	0.0744249082709679
"131"	130	2	1	1	0.75	0.6666667	420000	3	"We must adapt to changes that happen on Earth We know that these changes occur and we should work with solutions Do not discuss whether these are man-made or not the use of fossil fuels is a limited resource and we should work to make us much less dependent on this In the long term sustainable use of resources, including energy production, one of the most important solutions we should work with technology and development as well as a change away from the materialistic belief of the world is the way to go "	1	0.0639188594039722	0.614327301299885	0.29619653324805	0.0255573060480924
"132"	131	2	1	1	0.5	0.3333333	14000	2	"We must think of it but we must not do any fees for this because it is knocked with the whole world it does nothing against climate change if only Norway engaged "	0	0.0313519659820992	0.839193767395287	0.101880550101349	0.0275737165212651
"133"	132	2	1	1	1	0.6666667	13500	2	"We have to stand together to secure the next generation in terms of climate "	0	0.108363563153342	0.443382316425989	0.349099529361939	0.0991545910587295
"134"	133	5	2	1	0.75	0.6666667	350000	2	"We must reduce emissions and renew car park to more environmentally friendly "	0	0.0638948192866955	0.745762181303454	0.137811149620307	0.0525318497895434
"135"	134	7	2	1	1	0.3333333	200000	3	"We have to do something about it! One knows that one must begin with itself every one of us must start living more environmentally friendly one feels that one has a long way to go! "	1	0.0321317717400936	0.841639739302348	0.108553778246349	0.0176747107112095
"136"	135	5	1	1	1	0.6666667	400000	3	"We have to do something to bring down the emissions "	1	0.10812358671932	0.603007077009864	0.19023664695454	0.0986326893162758
"137"	136	1	2	1	0.75	0.3333333	20000	1	"We have to do something "	0	0.0865178973799122	0.656400294588869	0.134278738460489	0.122803069570731
"138"	137	6	1	1	1	0.6666667	310000	2	"We must do more on areas that are about renewable energy as well as stop sunkging and utilizing the rainforests those who conduct environmental crime must be punished much harder "	0	0.114524459432876	0.551162520650067	0.187870163838301	0.146442856078756
"139"	138	3	2	1	0.75	0.6666667	300000	2	"We have to do more to save the soil! "	0	0.0876833498365201	0.677509008756334	0.144336436224456	0.0904712051826893
"140"	139	2	1	1	0.75	0.3333333	560000	2	"We need to get out fingern "	0	0.0778838193673687	0.673649577309123	0.15316112819323	0.0953054751302784
"141"	140	3	1	1	0.5	0.6666667	320000	3	"We must get all the big countries to write under the \"Kyoto Agreement\" and tie until this gets so and put pressure on the smaller countries does not help us to go far ahead of everything "	1	0.0367112757653623	0.804329426016606	0.128596365428932	0.0303629327890988
"142"	141	2	2	1	0.5	0.3333333	0	1	"We must pollute smaller and help the countries that are most exposed to this "	0	0.0863075936424649	0.634368116443086	0.188255483592321	0.0910688063221285
"143"	142	3	1	1	1	0	550000	3	"We can do much more than what we do now "	1	0.0527267247012882	0.749873832200604	0.152824571270204	0.0445748718279032
"144"	143	4	1	1	0.75	0.6666667	360000	3	"We have bad time "	1	0.236791767844905	0.397951029927378	0.20728964803106	0.157967554196657
"145"	144	5	1	0	0.5	0.3333333	390000	2	"We have always had major or minor changes "	0	0.103013608625381	0.710083455628989	0.113410810997327	0.0734921247483029
"146"	145	5	1	1	0.75	0.3333333	660000	3	"We burn fossil fuels scary fast "	1	0.339366174790767	0.306346981858979	0.189409648792139	0.164877194558115
"147"	146	2	1	0	0.25	0.6666667	436000	3	"We will soon find technological solutions to all these issues "	1	0.0324893639048195	0.843753577797983	0.0950443035587194	0.0287127547384785
"148"	147	1	2	1	0.5	0.6666667	0	2	"We might have to do something about climate change "	0	0.0594215082125578	0.749291683449771	0.12305862709801	0.0682281812396611
"149"	148	1	2	1	0.75	0.3333333	66000	2	"We should start thinking about that much of what we do is blame for climate change such as typhoon tsunami etc "	0	0.0999728322113088	0.704765462728898	0.121851762224885	0.0734099428349078
"150"	149	1	2	0	0.75	0	150000	1	"Don't know haven't put myself into our world so that "	0	0.0404852016608427	0.814522004234983	0.0950859346719863	0.0499068594321884
"151"	150	5	1	1	1	0.6666667	700000	3	"The world community should see its B and "	1	0.0945202181086021	0.613368322324352	0.22384206275047	0.0682693968165758
"152"	151	4	2	1	1	0	378350	3	"The end of the world "	1	0.158326492037252	0.432712559420357	0.248724693660083	0.160236254882308
"153"	152	4	1	0	0.25	0.3333333	579000	0	"The world's largest fraud one can affect the environment but not the climate "	0	0.0367098594738465	0.864730470236658	0.0624789933818561	0.0360806769076392
"154"	153	6	1	1	0.75	0.6666667	360000	2	"The world's time through the ages "	0	0.105533718686659	0.633278677549962	0.184108987206434	0.0770786165569447
"155"	154	4	2	1	1	0.6666667	250000	3	"The world is going to go below if we do not realize that we must take this more seriously the pole ice melts in record speed small and large natural disasters are in the process of increasing in the extent of many developers in the process of expanding financially and are going to contaminate more in the future everyone must sharpen not at least the US and Europe "	1	0.148598860253614	0.463937232875058	0.245023430457923	0.142440476413405
"156"	155	3	1	1	0.25	0.3333333	900000	2	"the world of change and we must adapt "	0	0.0741572197748067	0.710718253191631	0.152079940805962	0.0630445862276005
"157"	156	6	1	0	0	0	520000	3	"The world has always experienced climate change also long before man was able to influence the trend further is that the world goes Henimot a new ice age maybe so-called man-made \"climate change\" can help expose this scary senario "	1	0.0376613412655172	0.846824331069548	0.0785096015251297	0.0370047261398048
"158"	157	4	1	1	0.75	1	550000	2	"The world gets worse "	0	0.159390995532952	0.392144457284486	0.269880053417516	0.178584493765045
"159"	158	2	1	0	1	0.6666667	14000	1	"World "	0	0.0892636931333832	0.630833519535928	0.166194702930826	0.113708084399863
"162"	161	3	1	1	1	0.6666667	140	2	"very described very bad at all "	0	0.301600445371888	0.245893594002857	0.185683581386353	0.266822379238902
"164"	163	5	2	1	0.5	0.3333333	440000	3	"Hot wet weather and sea rise "	1	0.245145109482172	0.0502343617780523	0.0656708465608185	0.638949682178957
"165"	164	4	1	1	0	0.3333333	150000	2	"Warm weather fuel deficiency and unemployment and probably food and medical problems health issues in general "	0	0.252582284732969	0.47981688328908	0.161108684355709	0.106492147622242
"166"	165	4	2	1	0.75	0.6666667	540000	3	"Hotter / wetter weather "	1	0.289992796109767	0.0803054919685506	0.101049918996928	0.528651792924754
"167"	166	3	1	1	0.5	0.3333333	720000	3	"warmer wetter wilders "	1	0.175876634220997	0.0862451647070712	0.091498676574894	0.646379524497038
"168"	167	4	2	0	0.5	0.6666667	620000	3	"Warmer wetter and more violent weather "	1	0.345693080538728	0.107995694577547	0.0904490236362231	0.455862201247502
"169"	168	4	1	1	0.5	0.3333333	1200000	2	"Warmer wetter and more extreme weather "	0	0.350795837776874	0.0943034611901275	0.0944870400635618	0.460413660969437
"170"	169	5	1	1	1	0.6666667	1200000	3	"Warmer wetter climate (for us) more extreme weather "	1	0.314511563798323	0.180058236181576	0.146390377039221	0.359039822980879
"171"	170	5	1	0	0.5	0.3333333	0	3	"Warmer weather --- ah lovely "	1	0.312701855802379	0.191521356075521	0.126417107016518	0.369359681105582
"172"	171	5	1	0	0.25	0.3333333	0	3	"warmer weather and rain "	1	0.287234418395366	0.136405711633431	0.0955174131318957	0.480842456839307
"173"	172	5	1	0	0.25	0.3333333	600000	3	"Warmer weather more precipitation Norway wins again "	1	0.276759013391165	0.220171712141082	0.111368973420485	0.391700301047268
"174"	173	4	1	0	0.25	0.6666667	1500000	3	"Hotter be more rain "	1	0.194642018765652	0.161021736090015	0.0976509269645991	0.546685318179733
"175"	174	4	1	1	0.75	0	750000	3	"Warmer weather higher water level more extreme weather more immigration "	1	0.342425873163846	0.0576663814206774	0.0854203086536219	0.514487436761855
"176"	175	5	1	0	0.5	0.3333333	300000	2	"Warmer weather "	0	0.301280571942898	0.205620339267842	0.108204411193836	0.384894677595425
"177"	176	4	2	1	0.75	0.3333333	1000000	3	"warmer weather "	1	0.330663985551861	0.114840782099067	0.127931163986112	0.42656406836296
"178"	177	4	2	1	0.5	0.3333333	500000	3	"Warmer winters and wetter summers "	1	0.169580701123152	0.0538207153898934	0.0631064767563928	0.713492106730561
"179"	178	2	2	1	0.25	0.3333333	300000	3	"Hotter winters "	1	0.1940001815515	0.100809434829896	0.0943499117412511	0.610840471877353
"180"	179	4	2	1	0.75	0.6666667	300000	3	"Hotter wilder and wetter climate "	1	0.169578481077051	0.186640103684164	0.117341137264038	0.526440277974746
"181"	180	1	2	1	0.5	0.3333333	0	3	"Hotter temperatures than before "	1	0.285104628867898	0.136960659732984	0.136218198245449	0.44171651315367
"182"	181	5	2	1	0.75	0.6666667	600000	2	"Hotter summers colder winters "	0	0.167862194172677	0.053610646666927	0.0548478302375533	0.723679328922842
"183"	182	5	1	1	0.5	0.6666667	750000	3	"Hotter on earth "	1	0.193016501178549	0.347738174056589	0.171873034169027	0.287372290595835
"184"	183	5	2	1	0.5	0.6666667	640000	3	"Warmer and wetter and storms "	1	0.309426234559477	0.0734341375885109	0.0903124185459052	0.526827209306107
"185"	184	1	1	1	0.25	0.3333333	30000	2	"Warmer and wetter climate "	0	0.140981250626386	0.304539010956958	0.124241382444257	0.430238355972399
"186"	185	5	1	0	0.25	0.3333333	500000	2	"Warmer and wetter "	0	0.197633485192514	0.169241801870876	0.0803358963517518	0.552788816584859
"187"	186	3	2	1	0.75	0.6666667	570000	3	"Warmer and more unstable extreme weather "	1	0.45288529572982	0.0846736301446466	0.117080498861865	0.345360575263668
"188"	187	1	1	0	0.25	0.6666667	0	2	"Hotter and more rain "	0	0.148100942167452	0.199925042233398	0.0901415367989191	0.561832478800231
"189"	188	4	2	1	0.75	0.6666667	454000	3	"Warmer more reg and extreme weather "	1	0.406239623319959	0.0925803937336725	0.11950911966485	0.381670863281518
"190"	189	3	1	1	0.5	0.3333333	470000	3	"Warmer climate melting of polis more extreme weather "	1	0.299207478207971	0.194247187944419	0.139745393241422	0.366799940606189
"191"	190	3	2	0	0.25	0.3333333	500000	2	"Warmer climate melting of ice "	0	0.14284351034715	0.257738920708324	0.0799702301625892	0.519447338781937
"192"	191	2	1	0	0.5	0.3333333	450000	2	"Warmer climate on the poles ice melting "	0	0.119432509172639	0.232151557100941	0.08262234041689	0.56579359330953
"193"	192	4	2	1	0.5	0.3333333	750000	3	"Warmer climate in the summer "	1	0.185454852909817	0.245224264435226	0.131947060256196	0.43737382239876
"194"	193	6	2	1	0.5	0.3333333	225000	2	"warmer climate less snow more rain "	0	0.24852336415151	0.171189272077967	0.0923889033940064	0.487898460376516
"195"	194	3	2	0	0.5	0.3333333	310000	2	"Heaters Climate Meir Precipitation Pollution "	0	0.143019451712591	0.44966260311619	0.157819077868414	0.249498867302804
